#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
20,-2.7694950293094607,9.592470491469271,6.82297546215981,47.0901081421961
40,-2.5155511350073985,23.54890224960805,21.033351114600652,115.60320717694442
60,-1.9276168191236123,24.90566773574274,22.978050916619125,122.26366378429081
80,-0.8933759328997295,35.482560739347534,34.589184806447804,174.18637084824536
100,0.5624708821295397,40.555912066672185,41.118382948801724,199.09180713387516
120,2.426776667643049,37.41381240818753,39.84058907583058,183.667020282231
140,4.406802293886331,33.91507840245807,38.3218806963444,166.49149049174596
160,6.69673914032337,33.53091888402598,40.22765802434935,164.6056245635777
180,8.76535189367301,35.06382684787609,43.8291787415491,172.13077690612914
200,10.895808993731888,38.870402613600234,49.766211607332124,190.81752341411416
220,13.216121811131387,42.71368028831288,55.92980209944427,209.6844421587332
240,15.29576386845543,48.706480292977496,64.00224416143293,239.10351626953457
260,17.177223897808215,50.36672269524186,67.54394659305008,247.25376227075145
280,18.44570218279777,53.638731475644555,72.08443365844232,263.31628208234775
300,19.948033210643445,54.97956174364902,74.92759495429246,269.89851159004456
320,21.790117998470862,57.83926927712983,79.62938727560069,283.9370157612508
340,23.653963233811524,42.22894148615687,65.8829047199684,207.30482549642028
360,23.143072460965534,44.52301320290858,67.66608566387411,218.56658390619205
380,21.147781019675133,47.397274144146515,68.54505516382164,232.6765317733398
400,18.439472487885446,49.19863086996617,67.63810335785162,241.5195178525732
420,15.947751195140905,52.61480764438805,68.56255883952896,258.2897684239403
440,14.180078822828909,43.96465149579139,58.1447303186203,215.82554725729193
460,13.137174327462864,48.028282524280975,61.16545685174384,235.7741960179772
480,13.35359513276823,39.741486916446775,53.09508204921501,195.0937371442989
500,14.786510547070787,37.85795313910872,52.644463686179506,185.84733817510673
520,16.955321534997402,46.9516101208836,63.906931655881,230.48873593188264
540,19.369750414170657,44.750069961500294,64.11982037567095,219.6812214050521
560,22.51641607020897,46.34377295309556,68.86018902330453,227.50482078828747
580,25.94034510154091,40.49766412645201,66.43800922799292,198.80586392388898
600,28.947323557013107,47.33708393643547,76.28440749344858,232.3810538364793
620,30.86760606157229,55.85814726164819,86.72575332322049,274.2115493097375
640,30.666657134869908,53.189007706447065,83.85566484131698,261.1085566643275
660,30.1529050716956,52.79997435889836,82.95287943059395,259.19876476835236
680,31.29146239650957,65.56043111370897,96.85189351021855,321.84073891486963
700,31.366709322503993,76.5741020775195,107.94081140002349,375.90761951561086
720,31.7805755887575,71.49094799251179,103.27152358126929,350.95406080731664
740,33.51699655751636,70.84104534444313,104.3580419019595,347.7636432807087
760,34.08408206538083,61.08415163755049,95.16823370293132,299.8663700810585
780,32.95132794699344,58.144808827919576,91.09613677491302,285.43693077284274
800,32.63011633970649,61.000326400163516,93.63044273987,299.45486613146505
820,32.6803409341116,58.8324650287537,91.5128059628653,288.8126831288941
840,31.512025044562,61.15081627897618,92.66284132353817,300.19363146557754
860,29.698200355816166,67.42979418029145,97.12799453610762,331.0175728744509
880,26.639033204210783,71.11799417849845,97.75702738270923,349.1232044654023
900,24.442994175247122,74.24647746734087,98.68947164258799,364.4811476067085
920,23.75739632866096,72.53278995514842,96.29018628380938,356.06853582512014
940,24.21821489805659,74.79845960326779,99.01667450132437,367.1908664947129
960,25.655197557461758,68.91892259409697,94.57412015155873,338.3278083457073
980,28.051026398351755,62.550113546191035,90.6011399445428,307.06287955915536
1000,31.353048117252147,62.29690731849345,93.6499554357456,305.81987248864516
1020,36.68002403756704,61.87453551196474,98.55455954953177,303.7464197672279
1040,44.21472689621907,52.04602515928077,96.26075205549984,255.49757544748985
1060,52.37786837305626,38.842495368073216,91.22036374112947,190.68052479514662
1080,55.15728353548265,34.10728170688176,89.2645652423644,167.43502994789
1100,53.39605028200886,41.461726721304565,94.85777700331343,203.5385145885771
1120,47.27896189581385,45.21141854330332,92.49038043911716,221.9460138407102
1140,40.91357289000698,55.39614305804482,96.3097159480518,271.9435383808345
1160,36.630158896728936,54.22559395487432,90.85575285160326,266.1972310137105
1180,33.40893545610292,53.6996858531855,87.10862130928842,263.61551138231755
1200,31.53779478005413,63.12374418638534,94.66153896643947,309.87887246780696
1220,30.26885917720723,72.41578223484531,102.68464141205254,355.4941367474847
1240,30.57668166866805,80.56550852959077,111.14219019825882,395.501712782267
1260,33.11012992703616,83.02945147244915,116.13958139948531,407.59738091474514
1280,37.36321759383684,66.68987062848034,104.05308822231717,327.38523643904256
1300,44.24335803189598,61.298241451458836,105.54159948335482,300.9173519420975
1320,51.49938118951068,59.934676282551145,111.43405747206182,294.2235152167306
1340,56.89418141635865,55.10656439973883,112.00074581609748,270.5219765060882
1360,59.23153068195884,48.549691621667904,107.78122230362675,238.33382972277835
1380,57.787182787021976,36.29038844625899,94.07757123328096,178.1520535274418
1400,53.17108807681139,48.34658512116548,101.51767319797688,237.33676571496642
1420,46.39796005896575,54.75745949061446,101.15541954958022,268.80819610527726
1440,38.89690506149218,61.1452004970351,100.04210555852728,300.16606319949386
1460,31.775593362657183,71.25085789345438,103.02645125611156,349.77544172909916
1480,26.869647795269774,72.16424809803299,99.03389589330276,354.25933808800687
1500,24.82489806020396,76.17496976713971,100.99986782734368,373.9482511051953
1520,24.639968717263354,87.9809344984965,112.62090321575985,431.90455719098975
1540,27.009952121820945,97.16693842451456,124.1768905463355,476.99929255197094
1560,32.22140204748947,84.50118133685875,116.72258338434821,414.822205690884
1580,38.138498095704826,70.04777582078823,108.18627391649306,343.8694277407143
1600,43.85869693776779,60.51173313726457,104.37043007503236,297.05632765194395
1620,46.81334353301288,67.8015685995336,114.61491213254648,332.8426394849955
1640,49.1709037275484,66.8345859522905,116.00548967983889,328.0956540790148
1660,51.644580726208936,55.43781997231781,107.08240069852675,272.14813326615564
1680,53.40490143443159,47.114189718405015,100.51909115283661,231.28685054018993
1700,53.73365497237026,54.43008071422477,108.16373568659503,267.2010708086854
1720,54.550650951774564,42.97550838220173,97.5261593339763,210.96977457303205
1740,54.67215994019364,47.2739822952463,101.94614223543994,232.0712834691698
1760,51.465878263813615,63.3149080103062,114.7807862741198,310.8173090415045
1780,46.04038257552721,62.683305717472955,108.72368829300017,307.7167292379151
1800,44.17782925105935,81.90869694611298,126.08652619717233,402.09551860586856
1820,41.92136088224717,77.12146863096561,119.04282951321278,378.5946801865946
1840,39.090003202848266,84.04255350686762,123.13255670971589,412.570769616047
1860,37.161796781043705,89.2947174365909,126.4565142176346,438.3540094655895
1880,36.65937074086542,76.86710139125023,113.52647213211566,377.345973626936
1900,36.191571072474616,78.48202621493087,114.67359728740549,385.2737524672533
1920,36.96513297167219,69.95532020376483,106.92045317543702,343.4155566542348
1940,38.3859852960814,60.83824558374565,99.22423087982705,298.6592000744592
1960,41.4670698055414,54.27515243050082,95.74222223604221,266.44051703462554
1980,46.19508614750995,46.37550785247531,92.57059399998525,227.66060962756544
2000,49.71309183657517,47.49947335139311,97.21256518796827,233.17823482528755
2020,52.195004144242844,33.58564226905894,85.78064641330178,164.8742654857886
2040,52.72562712076348,39.0549850693599,91.78061219012338,191.72365159148043
2060,50.64639172402993,45.32849608793137,95.97488781196131,222.52075569083743
2080,45.96525391604841,66.95888914372618,112.9241430597746,328.7058671343828
2100,40.213006535410344,61.18564240016883,101.39864893557917,300.3645953288069
2120,34.86148159979162,70.0569950292541,104.91847662904571,343.91468547948233
2140,31.26217868483212,76.92107689422258,108.1832555790547,377.6109431438355
2160,30.151821381991567,79.82593914784205,109.97776052983362,391.8711149924509
2180,29.99183378039955,78.63101676034273,108.62285054074228,386.00515746890005
2200,30.92288730715209,81.75042833727552,112.67331564442762,401.31856694234256
2220,32.98505599381967,83.46299481404097,116.44805080786064,409.7256754826611
2240,36.15390417268556,72.70258356094674,108.85648773363229,356.90206450430725
2260,39.44208374653478,68.93083200532013,108.3729157518549,338.3862724778521
2280,42.741621789305626,77.74445860518638,120.486080394492,381.6529815161269
2300,47.66668994034374,68.33668782105673,116.00337776140046,335.4695771474988
2320,52.321009394062834,54.4575076971084,106.77851709117124,267.33571178476694
2340,55.96514976900841,48.70438504233927,104.66953481134769,239.09323053769657
2360,57.218018642096595,45.92024269202139,103.13826133411798,225.42568113253228
2380,53.65966678661611,61.49441022506541,115.15407701168152,301.88035816364084
2400,48.30136118216447,58.50022276879425,106.80158395095873,287.181682651508
2420,43.125633870559945,56.361208059465774,99.48684193002572,276.6811099294336
2440,38.38668929928044,61.92884706935046,100.3155363686309,304.0130389987323
2460,33.782365639732056,59.480623244289276,93.26298888402133,291.99453711426384
2480,28.682230653422426,62.75861017543829,91.44084082886071,308.08640408573774
2500,23.346376749946174,79.52345524954488,102.86983199949105,390.38620039253067
2520,19.265778155707757,75.63166034233606,94.89743849804381,371.2811071623048
2540,16.364861480369193,82.58580163961986,98.95066311998906,405.41947287491564
2560,14.351055839632469,88.01198990285157,102.36304574248403,432.05701034169584
2580,13.50664738085312,81.96640940082764,95.47305678168077,402.3788330800785
2600,14.563662340434881,72.93284887750406,87.49651121793895,358.032453038494
2620,17.084369110863644,64.10600373662928,81.19037284749292,314.70085325845173
2640,19.974626468563162,68.45680919104626,88.43143565960942,336.0592613490844
2660,22.778977133277724,55.86823477586996,78.64721190914769,274.2610696221546
2680,23.979178481326795,61.38410082704424,85.36327930837103,301.33884161829036
2700,23.582399746272685,61.69603554963544,85.27843529590812,302.87015097526864
2720,22.080869919547073,61.946716980224906,84.02758689977198,304.1007636402955
2740,21.04714763668372,69.11129514538176,90.15844278206548,339.2721786465226
2760,20.64589753396365,61.11632454140473,81.76222207536838,300.02430911491757
2780,20.50186964888416,66.55438898237327,87.05625863125744,326.7201475683352
2800,21.04704004229466,60.78308463252348,81.83012467481814,298.3884111092402
2820,22.294775657158176,59.80127402981695,82.09604968697514,293.5686342334373
2840,24.445833560032483,69.23101773492525,93.67685129495773,339.85990520702444
2860,27.463889163154544,61.933692141510726,89.39758130466527,304.03682379663053
2880,30.747738883429854,54.66437749947991,85.41211638290977,268.3512501045035
2900,33.78180657290452,47.59636995513643,81.37817652804095,233.65390702599353
2920,38.03612462958553,46.66155827299927,84.6976829025848,229.06485113642108
