#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
100,-29.623106950861278,0.38867366224061584,-29.23443328862066,1.5326767640517798
200,-30.361823176003337,1.1602298103061268,-29.20159336569721,4.575193649513459
300,-31.522032929814863,2.5310565073435622,-28.9909764224713,9.980844791345758
400,-33.4167436735479,3.9480267997701737,-29.468716873777726,15.568456336810998
500,-36.4689413152179,6.720692127909421,-29.748249187308474,26.50204956881197
600,-40.7706777556487,10.50634886343396,-30.26432889221474,41.43022371307034
700,-43.43815968305864,12.619392748833869,-30.818766934224776,49.76269791753344
800,-48.89757857937054,16.74314885150728,-32.15442972786326,66.02411661708892
900,-54.0166987484132,20.361297384450367,-33.65540136396283,80.2917470846684
1000,-60.351563733304495,24.760048397882546,-35.591515335421946,97.63756730379875
1100,-62.88312944476105,25.50017525540744,-37.38295418935361,100.55614745775016
1200,-64.13729076957132,23.93341233825383,-40.20387843131749,94.37785098132791
1300,-63.87247294423135,21.82783894384519,-42.044634000386154,86.0748355467037
1400,-67.54042574937455,23.23955087884495,-44.3008748705296,91.64171154194216
1500,-65.64205702671856,18.241118163101092,-47.40093886361747,71.93113574441315
1600,-68.1915041182923,19.18885975617465,-49.00264436211765,75.66841372114935
1700,-64.97432566697528,13.900038245272123,-51.074287421703154,54.81273291106318
1800,-72.84992121917506,19.74494942413747,-53.104971795037585,77.86127059728173
1900,-71.73248553003086,17.079496511756915,-54.65298901827394,67.35045357683038
2000,-69.99274176344677,13.33982063447466,-56.65292112897211,52.60359810647659
2100,-69.95628210346042,12.659634999578715,-57.29664710388171,49.921387246504715
2200,-72.34462739938644,14.44591882663625,-57.89870857275019,56.96533177299976
2300,-72.50151360154344,13.52332417274322,-58.97818942880022,53.32721700981096
2400,-71.21934664924859,11.242130952388004,-59.97721569686059,44.33167091853396
2500,-72.65153380330355,12.099548923278402,-60.551984880025145,47.71277112863924
2600,-73.05432022156174,11.5169451707038,-61.53737505085794,45.41535990434159
2700,-73.25347048909465,10.14503909255555,-63.1084313965391,40.00545238367837
2800,-71.17914481502089,7.2191382854876816,-63.96000652953321,28.467597837369844
2900,-71.27057379755442,7.023566951124019,-64.2470068464304,27.696391375460877
3000,-71.77087073657003,6.769638473440797,-65.00123226312924,26.695062200665443
3100,-73.97144368841207,8.369231637174696,-65.60221205123737,33.00281987032013
3200,-73.85022851040075,7.36775091721978,-66.48247759318097,29.053629641499047
3300,-73.77864423110898,7.101856396918692,-66.67678783419029,28.00511415782863
3400,-76.07188945138242,9.084207373055872,-66.98768207832654,35.82222031780275
3500,-75.94737837938204,8.421931355532768,-67.52544702384928,33.210633369526285
3600,-77.60725074384135,9.464636489876508,-68.14261425396484,37.32238594353214
3700,-77.0732290166033,8.241454325799854,-68.83177469080346,32.49894905234844
3800,-78.69812928607814,9.08217904653607,-69.61595023954207,35.81422191392612
3900,-78.86217093423424,8.118448788555256,-70.74372214567899,32.01389501576238
4000,-77.07673160567698,5.593451317348055,-71.48328028832893,22.05694313201735
4100,-79.73328273039104,7.258519020662484,-72.47476370972855,28.62288990785835
4200,-82.35351264625946,9.171085897953882,-73.18242674830557,36.16481285581692
4300,-81.47740999350697,7.714321409426235,-73.76308858408073,30.420278818211163
4400,-81.65041990772232,6.695661806332958,-74.95475810138936,26.403346219436987
4500,-82.91028784376948,7.532164303659983,-75.3781235401095,29.701969371140834
4600,-82.02456356794092,6.156781707468333,-75.86778186047258,24.278352718775167
4700,-84.13500801994579,8.0413133451487,-76.09369467479709,31.709722870131184
4800,-83.67790703348845,7.297333273758989,-76.38057375972946,28.775948140546653
4900,-85.45202136164153,8.811718362903713,-76.64030299873781,34.747700444467114
5000,-84.07187240626487,6.2932270240500525,-77.77864538221482,24.816404525740737
5100,-84.50360226253076,5.938011260020888,-78.56559100250988,23.41566400575315
5200,-85.28090074791477,6.026758264530815,-79.25414248338396,23.76562461514314
5300,-84.31536928605023,4.655547243921325,-79.65982204212891,18.358457950480272
5400,-84.41360757080285,4.286701531225527,-80.12690603957732,16.90396975565375
5500,-86.27503651284151,5.839889492455052,-80.43514702038645,23.028735412936012
5600,-86.07400949925518,5.243887604830495,-80.83012189442469,20.678490636309874
5700,-85.81761443285549,4.85395141731964,-80.96366301553586,19.140835291680833
5800,-85.74503242295386,4.39053325590786,-81.354499167046,17.313414714889277
5900,-86.173752530633,4.513760757130719,-81.65999177350227,17.79934403340203
6000,-87.5672711028169,5.749939381929509,-81.8173317208874,22.674030533959563
6100,-87.56691339234493,5.695191622620216,-81.87172176972472,22.4581408899494
6200,-87.6405198747652,4.920698920310771,-82.71982095445443,19.404044139698044
6300,-85.9417638401056,2.9867843535845626,-82.95497948652103,11.777939754349795
6400,-87.4404117404033,4.277140571417906,-83.1632711689854,16.866267533036712
6500,-87.11107894384332,3.824813170032292,-83.28626577381104,15.082581718435593
6600,-87.23588048522909,3.5372243267143704,-83.69865615851472,13.948517899413472
6700,-87.13028163991933,3.155278940877661,-83.97500269904167,12.442373092394588
6800,-86.89634983970562,2.7882253269763186,-84.1081245127293,10.994951772553398
6900,-87.34237889027752,3.150114556889006,-84.19226433338851,12.422008112440908
7000,-88.2535170119619,4.095813175428325,-84.15770383653359,16.15122992303473
7100,-86.95452362433626,2.7672309607358923,-84.18729266360037,10.912163612616864
7200,-86.74075998474773,2.5929144006060327,-84.14784558414169,10.224772190825403
7300,-87.51760461855358,3.2676215209951036,-84.24998309755847,12.885379343878215
7400,-88.13607624479626,3.5314711592684396,-84.60460508552782,13.925831139489365
7500,-89.36075602687154,4.439138447687832,-84.9216175791837,17.505082057677548
7600,-88.63357319321489,3.3376063138647156,-85.29596687935017,13.16135396291949
7700,-88.5088592941306,2.9576015924882846,-85.55125770164231,11.662861877486995
7800,-88.92375572562507,2.929156301536824,-85.99459942408825,11.55069210442682
7900,-89.04547843761526,2.7606130769086494,-86.2848653607066,10.886066972286935
8000,-88.89170756459077,2.2932072802178176,-86.59850028437296,9.042921749013077
8100,-89.64525200742543,2.961746483549153,-86.68350552387628,11.679206638749942
8200,-88.83109184525179,2.0366773831019875,-86.7944144621498,8.031334263698412
8300,-89.48842893997131,2.653055782254438,-86.83537315771687,10.461930782120474
8400,-88.8619112065563,2.2658377397739775,-86.59607346678233,8.934994038040266
8500,-88.71023343307793,1.9381978170944663,-86.77203561598347,7.64299474595617
8600,-89.695079888047,2.7454429358291406,-86.94963695221786,10.826245777802303
8700,-89.30308374979315,2.421190244169909,-86.88189350562324,9.547603527328205
8800,-89.13750489418595,2.1344532139391323,-87.00305168024681,8.416898706490977
8900,-88.88235539326766,1.672216846604851,-87.2101385466628,6.594138358828493
9000,-89.39572084690114,2.1780516267345003,-87.21766922016664,8.58882256121214
9100,-89.9787171222524,2.7140752230804184,-87.26464189917199,10.70255186915342
9200,-89.16233293207279,1.789541147747927,-87.37279178432486,7.0567892860459
9300,-89.14812520930411,1.6469564133406944,-87.50116879596342,6.494527598246816
9400,-90.07360374480432,2.5199043300103288,-87.55369941479398,9.936867839141957
9500,-89.37147323731294,1.8464204197820901,-87.52505281753085,7.2810842333813675
9600,-89.53126757836976,1.7934040869334475,-87.73786349143631,7.072022212034405
9700,-89.95661549270449,2.1545795324885204,-87.80203596021596,8.496263849497387
9800,-89.5667511324312,1.6940519875818922,-87.8726991448493,6.680241988856781
9900,-89.62740038169542,1.613163782716241,-88.01423659897918,6.361271386710103
10000,-89.746290682047,1.7959020175277582,-87.95038866451925,7.081872429715848
10100,-89.81078398141452,1.8124026709435537,-87.99838131047096,7.146940301658262
10200,-89.901061401173,1.843104653477889,-88.0579567476951,7.268009002247417
10300,-90.2654991725859,1.8911547501121826,-88.37434442247373,7.457487409910226
10400,-89.73600036612847,1.2255321394718253,-88.51046822665664,4.832703669548637
10500,-89.99720894414253,1.4921160649963014,-88.50509287914623,5.8839377201546466
10600,-90.26642664615407,1.8188839060048652,-88.4475427401492,7.1724980879089815
10700,-90.29363784022874,2.0650930883989824,-88.22854475182976,8.143387370131656
10800,-89.67552618544555,1.4429238766992298,-88.23260230874632,5.6899556439286885
10900,-90.26093045345137,1.9274503456324152,-88.33348010781896,7.60061369114727
11000,-89.85297685207895,1.664100432796019,-88.18887641928293,6.562132488452525
11100,-90.37232392569459,2.063573776729765,-88.30875014896482,8.137396190592145
11200,-90.1739176016423,1.8900479459575823,-88.28386965568473,7.453122892385851
11300,-89.93775877566704,1.6374165068032558,-88.30034226886377,6.45690839606865
11400,-89.73662801689225,1.5445349399230457,-88.19209307696921,6.090643755070439
11500,-89.80888079114989,1.608511016144273,-88.20036977500561,6.34292389392579
11600,-89.93039949550267,1.7205176500711576,-88.20988184543151,6.784605391585681
11700,-89.66562896522272,1.4929363688919692,-88.17269259633075,5.887172466530574
