#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
1,-13.473346513494757,0.1381096022378647,-13.335236911256892,0.5446146698547482
2,-13.472886647191409,0.3206218108311504,-13.152264836360258,1.2643244120948256
3,-13.472714869649097,0.49134882419408277,-12.981366045455015,1.9375609902279043
4,-13.473209539709147,0.7241808606714585,-12.74902867903769,2.855699487646367
5,-13.473690234586956,0.8954083477576843,-12.578281886829272,3.5309096094517605
6,-13.473618092421203,1.146326800589748,-12.327291291831456,4.520369199048153
7,-13.471373567689566,1.2878393067895284,-12.183534260900037,5.078402714426575
8,-13.468629551633496,1.3699105788599413,-12.098718972773554,5.402038566090282
9,-13.464745456569355,1.7184254550672318,-11.746320001502124,6.776355131843622
10,-13.46075161085957,1.8679085976928844,-11.592843013166686,7.365819666175618
11,-13.460408550022732,1.6039846000204872,-11.856423950002245,6.325074645336723
12,-13.458767424015573,1.6431470645945783,-11.815620359420995,6.47950599818345
13,-13.456575445484393,1.8646586660023936,-11.591916779482,7.3530040440466164
14,-13.455616855436343,2.044994243782448,-11.410622611653896,8.064130566492159
15,-13.453456085626197,2.0913315824919385,-11.362124503134257,8.246854968085561
16,-13.452444563051731,2.4402473531474995,-11.012197209904231,9.622752401454575
17,-13.45184985978628,2.591433363387328,-10.860416496398953,10.218931940887398
18,-13.451942387477688,2.951478362619115,-10.500464024858573,11.638715831451043
19,-13.452553129459508,2.909723479621719,-10.542829649837788,11.47406166222619
20,-13.452424983985644,3.1080482818178807,-10.344376702167763,12.256126014899115
21,-13.452029108047883,3.0426362115050587,-10.409392896542824,11.99818324697645
22,-13.451848225731565,2.9992572606659644,-10.4525909650656,11.827124807830488
23,-13.451585347215985,3.342668298478565,-10.108917048737421,13.181315146172581
24,-13.454828974451289,3.368854049317921,-10.085974925133367,13.284574758952528
25,-13.461853086291917,3.4432214178597413,-10.018631668432176,13.577831413161224
26,-13.469474399632738,3.744842634045222,-9.724631765587516,14.767229806989969
27,-13.477751894102472,3.866421511346631,-9.61133038275584,15.246658022334321
28,-13.485142005082142,4.203953443061205,-9.281188562020937,16.57766498041366
29,-13.489561501209616,4.236313106380909,-9.253248394828706,16.705270498566694
30,-13.49339299896683,4.213347755249329,-9.2800452437175,16.61471005293538
31,-13.498124640976997,4.690907644457332,-8.807216996519664,18.497896429426014
32,-13.504541675116444,4.709919973139953,-8.794621701976492,18.57286871912114
33,-13.514351105129247,4.938960257216283,-8.575390847912963,19.47605500504521
34,-13.524199621974397,5.126013526038605,-8.398186095935792,20.21367174272481
35,-13.530980309272374,5.374590612294912,-8.156389696977463,21.193898501554887
36,-13.537016323488158,5.4323694167464724,-8.104646906741685,21.421740621154896
37,-13.54513045071783,6.025696457694571,-7.5194339930232585,23.761437537849446
38,-13.552236113929448,6.556111610040021,-6.996124503889427,25.853050781243287
39,-13.560891378739125,6.377708086494939,-7.183183292244186,25.149543027241585
40,-13.569805050410132,6.917266030384838,-6.652539020025293,27.27720950891755
41,-13.577596826498043,6.996808314001205,-6.580788512496838,27.590872670850427
42,-13.584073131946559,6.994661713568884,-6.589411418377675,27.582407871395386
43,-13.588869474497713,6.883546579189025,-6.705322895308688,27.14424186957077
44,-13.597246278720629,7.1630829479217155,-6.4341633307989134,28.246551953032956
45,-13.606847365399519,7.349164068691659,-6.25768329670786,28.980335169494495
46,-13.618762259593897,7.056200238391848,-6.562562021202049,27.82507588894629
47,-13.631200770434313,7.050828400586718,-6.580372369847596,27.803892845730257
48,-13.648543736648744,7.264901798820017,-6.383641937828727,28.648059443956463
49,-13.665683711666217,7.55164111913025,-6.114042592535967,29.778773295381324
50,-13.684125089059789,7.669110691284275,-6.015014397775514,30.241997077218436
51,-13.706183473661385,7.905145778400478,-5.801037695260907,31.172766328313163
52,-13.728753908424864,8.040193925896686,-5.688559982528178,31.705308606846916
