#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
20,-13.56304049733285,0.09635883296398827,-13.466681664368862,0.3799767224865962
40,-13.83229174301987,0.3747311173367125,-13.457560625683158,1.4776964124561214
60,-14.32478795097897,0.8791397700991834,-13.445648180879788,3.4667568937323194
80,-15.101476921106148,1.6300289627536415,-13.471447958352506,6.427776715154178
100,-16.264831728160427,2.700358176903784,-13.564473551256643,10.648460738241294
120,-18.06081420754397,4.383819106769875,-13.676995100774096,17.28693846662783
140,-20.985075544903278,7.095722116821225,-13.889353428082053,27.980924536861327
160,-26.229213056042195,12.112891512183962,-14.116321543858232,47.765385643010916
180,-34.39389607197397,19.6236831243365,-14.770212947637468,77.38307498480819
200,-40.37765180395425,24.82774269525618,-15.54990910869807,97.90450969460873
220,-48.313196155235204,31.576936251583998,-16.736259903651206,124.51895040623016
240,-63.46467057034652,45.20862223724794,-18.256048333098583,178.27347610430334
260,-52.85957746218036,32.90607302187149,-19.95350444030887,129.7602035241359
280,-69.32116222601515,47.827289307980166,-21.49387291803498,188.59980011854577
300,-72.32917693918523,48.781688890800275,-23.547488048384956,192.36333288733817
320,-80.43409052322338,54.95271751123602,-25.48137301198736,216.69786618788655
340,-81.93787208504395,54.45061924766143,-27.48725283738252,214.7179163826561
360,-99.65254833640235,69.40250306977816,-30.250045266624184,273.6784458429034
380,-96.62368980687779,63.78942206269768,-32.83426774418011,251.5440959497358
400,-115.03913675966446,79.54397755234672,-35.49515920731774,313.66984171740523
420,-120.06571598115406,82.57409438737588,-37.49162159377818,325.61865666575704
