Epsilon(kCal/mol) T(Kelvin) Cv(kCal/mol*Kelvin)
2.0 102.21 0.2061
2.0 104.41 0.1949
2.0 106.72 0.1836
2.0 109.02 0.173
2.0 111.43 0.1629
2.0 113.84 0.1537
2.0 116.35 0.1454
2.0 118.86 0.1382
2.0 121.49 0.132
2.0 124.11 0.1269
2.0 126.85 0.123
2.0 129.59 0.1201
2.0 132.45 0.1184
2.0 135.31 0.1176
2.0 138.3 0.1179
2.0 141.28 0.1191
2.0 144.4 0.1213
2.0 147.52 0.1242
2.0 150.78 0.128
2.0 154.03 0.1323
2.0 157.43 0.1373
2.0 160.83 0.1425
2.0 164.38 0.148
2.0 167.93 0.1535
2.0 171.64 0.1588
2.0 175.34 0.1637
2.0 179.21 0.1681
2.0 183.09 0.1716
2.0 187.13 0.1742
2.0 191.17 0.1758
2.0 195.39 0.1762
2.0 199.61 0.1756
2.0 204.01 0.1739
2.0 208.42 0.1713
2.0 213.02 0.1679
2.0 217.62 0.164
2.0 222.42 0.1596
2.0 227.23 0.155
2.0 232.24 0.1503
2.0 237.26 0.1458
2.0 242.49 0.1415
2.0 247.73 0.1377
2.0 253.2 0.1342
2.0 258.67 0.1314
2.0 264.38 0.129
2.0 270.09 0.1273
2.0 276.05 0.1261
2.0 282.01 0.1254
2.0 288.23 0.1252
2.0 294.46 0.1254
2.0 300.96 0.126
2.0 307.46 0.1268
2.0 314.24 0.1279
2.0 321.03 0.1289
2.0 328.12 0.1299
2.0 335.2 0.1308
2.0 342.6 0.1314
2.0 350.0 0.1316
2.25 102.21 1.9805
2.25 104.41 2.0264
2.25 106.72 1.9483
2.25 109.02 1.7436
2.25 111.43 1.4456
2.25 113.84 1.1353
2.25 116.35 0.8553
2.25 118.86 0.6409
2.25 121.49 0.4819
2.25 124.11 0.3739
2.25 126.85 0.299
2.25 129.59 0.2498
2.25 132.45 0.2162
2.25 135.31 0.1943
2.25 138.3 0.1794
2.25 141.28 0.1699
2.25 144.4 0.1635
2.25 147.52 0.1596
2.25 150.78 0.1572
2.25 154.03 0.1558
2.25 157.43 0.155
2.25 160.83 0.1545
2.25 164.38 0.1541
2.25 167.93 0.1535
2.25 171.64 0.1527
2.25 175.34 0.1515
2.25 179.21 0.1499
2.25 183.09 0.1479
2.25 187.13 0.1454
2.25 191.17 0.1425
2.25 195.39 0.1392
2.25 199.61 0.1356
