Epsilon(kCal/mol) T(Kelvin) Cv(kCal/mol*Kelvin)
2.25 10.44 0.133
2.25 10.88 0.1208
2.25 11.37 0.1081
2.25 11.85 0.0967
2.25 12.37 0.0861
2.25 12.89 0.0776
2.25 13.46 0.0704
2.25 14.03 0.0651
2.25 14.65 0.0611
2.25 15.27 0.0586
2.25 15.95 0.057
2.25 16.62 0.0562
2.25 17.36 0.0561
2.25 18.09 0.0564
2.25 18.89 0.057
2.25 19.69 0.0576
2.25 20.56 0.0584
2.25 21.43 0.0591
2.25 22.38 0.0598
2.25 23.33 0.0604
2.25 24.36 0.0611
2.25 25.39 0.0617
2.25 26.51 0.0625
2.25 27.63 0.0634
2.25 28.86 0.0645
2.25 30.08 0.0657
2.25 31.41 0.0671
2.25 32.74 0.0685
2.25 34.18 0.07
2.25 35.63 0.0713
2.25 37.21 0.0725
2.25 38.78 0.0734
2.25 40.49 0.0739
2.25 42.21 0.0739
2.25 44.07 0.0734
2.25 45.94 0.0724
2.25 47.97 0.0709
2.25 50.0 0.0688
2.25 52.21 0.0663
2.25 54.42 0.0634
2.25 10.44 0.133
2.25 10.88 0.1208
2.25 11.37 0.1081
2.25 11.85 0.0967
2.25 12.37 0.0861
2.25 12.89 0.0776
2.25 13.46 0.0704
2.25 14.03 0.0651
2.25 14.65 0.0611
2.25 15.27 0.0586
2.25 15.95 0.057
2.25 16.62 0.0562
2.25 17.36 0.0561
2.25 18.09 0.0564
2.25 18.89 0.057
2.25 19.69 0.0576
2.25 20.56 0.0584
2.25 21.43 0.0591
2.25 22.38 0.0598
2.25 23.33 0.0604
2.25 24.36 0.0611
2.25 25.39 0.0617
2.25 26.51 0.0625
2.25 27.63 0.0634
2.25 28.86 0.0645
2.25 30.08 0.0657
2.25 31.41 0.0671
2.25 32.74 0.0685
2.25 34.18 0.07
2.25 35.63 0.0713
2.25 37.21 0.0725
2.25 38.78 0.0734
2.25 40.49 0.0739
2.25 42.21 0.0739
2.25 44.07 0.0734
2.25 45.94 0.0724
2.25 47.97 0.0709
2.25 50.0 0.0688
2.25 52.21 0.0663
2.25 54.42 0.0634
