Epsilon(kCal/mol) T(Kelvin) dCv(kCal/mol*Kelvin)
2.0 102.21 0.0473
2.0 104.41 0.041
2.0 106.72 0.0356
2.0 109.02 0.0313
2.0 111.43 0.0275
2.0 113.84 0.0244
2.0 116.35 0.0218
2.0 118.86 0.0197
2.0 121.49 0.0179
2.0 124.11 0.0165
2.0 126.85 0.0153
2.0 129.59 0.0145
2.0 132.45 0.0139
2.0 135.31 0.0135
2.0 138.3 0.0133
2.0 141.28 0.0133
2.0 144.4 0.0134
2.0 147.52 0.0137
2.0 150.78 0.0141
2.0 154.03 0.0146
2.0 157.43 0.0151
2.0 160.83 0.0158
2.0 164.38 0.0165
2.0 167.93 0.0172
2.0 171.64 0.0179
2.0 175.34 0.0186
2.0 179.21 0.0192
2.0 183.09 0.0197
2.0 187.13 0.0201
2.0 191.17 0.0203
2.0 195.39 0.0204
2.0 199.61 0.0203
2.0 204.01 0.02
2.0 208.42 0.0197
2.0 213.02 0.0191
2.0 217.62 0.0186
2.0 222.42 0.0179
2.0 227.23 0.0173
2.0 232.24 0.0167
2.0 237.26 0.0161
2.0 242.49 0.0155
2.0 247.73 0.0151
2.0 253.2 0.0147
2.0 258.67 0.0144
2.0 264.38 0.0143
2.0 270.09 0.0142
2.0 276.05 0.0143
2.0 282.01 0.0145
2.0 288.23 0.0148
2.0 294.46 0.0153
2.0 300.96 0.0159
2.0 307.46 0.0166
2.0 314.24 0.0175
2.0 321.03 0.0185
2.0 328.12 0.0197
2.0 335.2 0.021
2.0 342.6 0.0225
2.0 350.0 0.024
2.25 102.21 0.8196
2.25 104.41 0.6908
2.25 106.72 0.5691
2.25 109.02 0.457
2.25 111.43 0.3438
2.25 113.84 0.2434
2.25 116.35 0.1632
2.25 118.86 0.1088
2.25 121.49 0.0732
2.25 124.11 0.0519
2.25 126.85 0.0387
2.25 129.59 0.0309
2.25 132.45 0.0259
2.25 135.31 0.0228
2.25 138.3 0.0208
2.25 141.28 0.0196
2.25 144.4 0.0189
2.25 147.52 0.0184
2.25 150.78 0.0182
2.25 154.03 0.0181
2.25 157.43 0.0182
2.25 160.83 0.0182
2.25 164.38 0.0183
2.25 167.93 0.0183
2.25 171.64 0.0183
2.25 175.34 0.0183
2.25 179.21 0.0182
2.25 183.09 0.018
2.25 187.13 0.0178
2.25 191.17 0.0175
2.25 195.39 0.0172
2.25 199.61 0.0168
2.25 204.01 0.0163
2.25 208.42 0.0159
2.25 213.02 0.0154
2.25 217.62 0.015
2.25 222.42 0.0145
2.25 227.23 0.014
2.25 232.24 0.0136
2.25 237.26 0.0132
2.25 242.49 0.0129
2.25 247.73 0.0126
2.25 253.2 0.0123
2.25 258.67 0.0122
2.25 264.38 0.0121
2.25 270.09 0.0121
2.25 276.05 0.0122
2.25 282.01 0.0124
2.25 288.23 0.0127
2.25 294.46 0.0132
2.25 300.96 0.0138
2.25 307.46 0.0145
2.25 314.24 0.0153
2.25 321.03 0.0162
2.25 328.12 0.0171
2.25 335.2 0.0181
2.25 342.6 0.0192
2.25 350.0 0.0201
2.5 102.21 0.0372
2.5 104.41 0.0383
2.5 106.72 0.0383
2.5 109.02 0.0372
2.5 111.43 0.0352
2.5 113.84 0.0325
2.5 116.35 0.0295
2.5 118.86 0.0264
2.5 121.49 0.0235
2.5 124.11 0.0209
2.5 126.85 0.0186
2.5 129.59 0.0167
2.5 132.45 0.0152
2.5 135.31 0.014
2.5 138.3 0.0131
2.5 141.28 0.0124
2.5 144.4 0.0118
2.5 147.52 0.0114
2.5 150.78 0.0111
2.5 154.03 0.0109
2.5 157.43 0.0107
2.5 160.83 0.0105
2.5 164.38 0.0104
2.5 167.93 0.0102
2.5 171.64 0.0101
2.5 175.34 0.01
2.5 179.21 0.0099
2.5 183.09 0.0099
2.5 187.13 0.0098
2.5 191.17 0.0097
2.5 195.39 0.0096
2.5 199.61 0.0095
2.5 204.01 0.0094
2.5 208.42 0.0094
2.5 213.02 0.0093
2.5 217.62 0.0092
2.5 222.42 0.0092
2.5 227.23 0.0092
2.5 232.24 0.0092
2.5 237.26 0.0092
2.5 242.49 0.0093
2.5 247.73 0.0093
2.5 253.2 0.0094
2.5 258.67 0.0096
2.5 264.38 0.0097
2.5 270.09 0.0098
2.5 276.05 0.01
2.5 282.01 0.0102
2.5 288.23 0.0104
2.5 294.46 0.0105
2.5 300.96 0.0107
2.5 307.46 0.0108
2.5 314.24 0.011
2.5 321.03 0.0111
2.5 328.12 0.0111
2.5 335.2 0.0112
2.5 342.6 0.0112
2.5 350.0 0.0112
2.75 102.21 0.0372
2.75 104.41 0.0415
2.75 106.72 0.0449
2.75 109.02 0.0467
