Epsilon(kCal/mol) T(Kelvin) dCv(kCal/mol*Kelvin)
1.0 10.44 0.1098
1.0 10.88 0.105
1.0 11.37 0.0911
1.0 11.85 0.0735
1.0 12.37 0.0561
1.0 12.89 0.0431
1.0 13.46 0.034
1.0 14.03 0.0286
1.0 14.65 0.0256
1.0 15.27 0.0241
1.0 15.95 0.0235
1.0 16.62 0.0234
1.0 17.36 0.0233
1.0 18.09 0.023
1.0 18.89 0.0223
1.0 19.69 0.0212
1.0 20.56 0.0196
1.0 21.43 0.0178
1.0 22.38 0.0158
1.0 23.33 0.0139
1.0 24.36 0.012
1.0 25.39 0.0105
1.0 26.51 0.0091
1.0 27.63 0.008
1.0 28.86 0.0071
1.0 30.08 0.0064
1.0 31.41 0.006
1.0 32.74 0.0057
1.0 34.18 0.0055
1.0 35.63 0.0055
1.0 37.21 0.0057
1.0 38.78 0.0061
1.0 40.49 0.0067
1.0 42.21 0.0075
1.0 44.07 0.0088
1.0 45.94 0.0104
1.0 47.97 0.0126
1.0 50.0 0.0151
1.0 52.21 0.0181
1.0 54.42 0.021
1.0 10.44 0.1098
1.0 10.88 0.105
1.0 11.37 0.0911
1.0 11.85 0.0735
1.0 12.37 0.0561
1.0 12.89 0.0431
1.0 13.46 0.034
1.0 14.03 0.0286
1.0 14.65 0.0256
1.0 15.27 0.0241
1.0 15.95 0.0235
1.0 16.62 0.0234
1.0 17.36 0.0233
1.0 18.09 0.023
1.0 18.89 0.0223
1.0 19.69 0.0212
1.0 20.56 0.0196
1.0 21.43 0.0178
1.0 22.38 0.0158
1.0 23.33 0.0139
1.0 24.36 0.012
1.0 25.39 0.0105
1.0 26.51 0.0091
1.0 27.63 0.008
1.0 28.86 0.0071
1.0 30.08 0.0064
1.0 31.41 0.006
1.0 32.74 0.0057
1.0 34.18 0.0055
1.0 35.63 0.0055
1.0 37.21 0.0057
1.0 38.78 0.0061
1.0 40.49 0.0067
1.0 42.21 0.0075
1.0 44.07 0.0088
1.0 45.94 0.0104
1.0 47.97 0.0126
1.0 50.0 0.0151
1.0 52.21 0.0181
1.0 54.42 0.021
