#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
20,1368576.546490034,363627.609467801,1732204.155957835,2650563.461930403
40,1371149.2257618948,361056.0376543734,1732205.2634162682,2631818.6963764965
60,1373660.0052655404,358548.5020265866,1732208.507292127,2613540.704987922
80,1376106.2838451162,356102.68397990253,1732208.9678250188,2595712.5869345134
100,1378489.7594306476,353719.4907270362,1732209.2501576839,2578340.9550938737
120,1380815.910226043,351393.3846269616,1732209.2948530046,2561385.444354591
140,1383093.6436522321,349114.72400437406,1732208.3676566062,2544775.774375983
160,1385334.999081891,346875.21692824236,1732210.2160101333,2528451.503407073
180,1387557.037884757,344651.521636745,1732208.559521502,2512242.4880940286
200,1389781.7654685269,342427.43258490146,1732209.1980534284,2496030.6025732234
220,1392039.9990589984,340169.05558967224,1732209.0546486706,2479568.7845182642
240,1394374.4339654332,337835.82070444786,1732210.254669881,2462561.3104600417
260,1396846.5374807294,335363.34589052404,1732209.8833712535,2444538.885232427
280,1399544.448938959,332665.7395570505,1732210.1884960094,2424875.425704032
300,1402596.3833029023,329613.67041351326,1732210.0537164155,2402628.2069986514
320,1406188.8226963177,326020.03025230893,1732208.8529486265,2376433.3552915584
340,1410587.4574839408,321622.32683451776,1732209.7843184585,2344377.505592291
360,1416168.3400363324,316040.8291555446,1732209.169191877,2303692.713168558
380,1423436.651636616,308772.36559425027,1732209.0172308665,2250711.246859837
400,1433021.309482824,299188.1656159474,1732209.4750987715,2180849.8567648875
420,1445606.534830997,286601.3379335676,1732207.8727645646,2089101.6377411496
440,1461735.890688498,270474.0811038008,1732209.9717922988,1971546.4340625564
460,1481363.9339741864,250842.58767389384,1732206.5216480803,1828448.0613493428
480,1503316.8226798794,228895.83994389192,1732212.6626237712,1668473.2791085623
500,1524721.98668117,207492.37730901575,1732214.3639901858,1512458.6241657587
