#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
5,-2.87451950255063,2.315982382878749,-0.5585371196718807,16.881716686797667
10,-2.8908089065832305,4.479541825808957,1.588732919225727,32.652388269020044
15,-2.9017934088618373,4.999317169956833,2.0975237610949957,36.44114770240585
20,-2.838696000823848,8.214053593818624,5.375357592994776,59.87408481434809
25,-2.7054827077204426,9.591071309579249,6.885588601858807,69.91147677467768
30,-2.552597542604108,11.89866608295712,9.346068540353013,86.73205428860423
35,-2.3746154293173234,11.063859301680086,8.689243872362763,80.64695982764425
40,-2.1399481919037804,11.073267845270724,8.933319653366944,80.71554081880669
45,-1.883120716968708,11.67145416712835,9.78833345015964,85.07585551125513
50,-1.5981119397803105,13.711367475554084,12.113255535773774,99.94524259858959
55,-1.1618112254005872,15.386455232274011,14.224644006873424,112.1553341534828
60,-0.750798862839806,14.445786583594098,13.694987720754291,105.29858872201355
65,-0.2783519019548151,13.648662158448708,13.370310256493893,99.48816943345913
70,0.23883018233648223,14.051018243866553,14.289848426203035,102.42103347052924
75,0.7936675479833801,15.0389225737658,15.832590121749181,109.62209041047443
80,1.41398351447473,13.081363757263647,14.495347271738376,95.35300374460127
85,2.1068842329343926,14.679490505674687,16.78637473860908,107.00210919363906
90,2.832133030229423,15.325633572352832,18.157766602582257,111.71199138939241
95,3.514444991129487,14.498414640100956,18.01285963123044,105.68220646724926
100,4.048285824606143,14.607228500686134,18.655514325292277,106.47537518026527
105,4.412121430840734,17.471052412145845,21.88317384298658,127.35043203369672
110,4.702529929649912,19.34052762477649,24.043057554426404,140.97745749206513
115,4.9945027268861875,14.123194718958455,19.11769744584464,102.94714403724204
120,5.154849541934206,19.161297240509967,24.31614678244417,139.6710068941584
125,5.122704173525861,19.773418837774,24.89612301129986,144.13289894449292
130,4.989924651647584,18.13890049810286,23.128825149750444,132.21852699862146
135,4.889504910256519,17.82482422791988,22.7143291381764,129.92915439783138
140,4.7963902746291485,15.092794406211368,19.889184680840515,110.01477431837803
145,4.625530705733578,13.736654905832221,18.3621856115658,100.12956836758013
150,4.451079477830737,15.4083370536344,19.859416531465136,112.31483567280698
155,4.285237941403474,16.989743065189923,21.274981006593396,123.84205990872498
160,4.182159167255717,16.15477183485555,20.336931002111264,117.75576674158488
165,4.001909714425318,19.37884950798053,23.38075922240585,141.25679432119549
170,3.8045569865583997,20.039980437888826,23.844537424447225,146.0759264243153
175,3.702064053771087,21.91832002340742,25.620384077178507,159.76756629115536
180,3.633935491962279,22.14524674373263,25.77918223569491,161.42168621430974
185,3.5258544265968776,21.79458890566476,25.32044333226164,158.865662334323
190,3.2481438187795546,22.914780544763413,26.162924363542967,167.03099123577906
195,3.0838327320429664,22.501995242755246,25.585827974798214,164.02210629239954
200,2.8347852334717407,20.455785658413948,23.29057089188569,149.10682423324914
205,2.439766317818365,21.892148753982028,24.331915071800392,159.57679801975593
210,2.045846433877861,24.78484326599655,26.830689699874412,180.66229917654093
215,1.645684873628266,23.700910319052802,25.346595192681068,172.76126804043835
220,1.3253631909680088,24.539831580956125,25.865194771924134,178.87635387644497
225,1.038773332885521,28.764912065351265,29.803685398236787,209.67391617388273
230,0.7659155461725755,30.456334973902507,31.222250520075082,222.00307832589735
235,0.4290824145163994,33.10820059439254,33.53728300890894,241.33312350565618
240,0.1275624023457922,28.377230576840013,28.504792979185805,206.84801857546148
245,-0.06979943536597233,27.92006629156106,27.850266856195088,203.51564523771245
250,-0.1522241619266016,30.39451401972378,30.24228985779718,221.55245148112164
255,-0.2053110526134697,33.177934432391964,32.9726233797785,241.84142914100644
260,-0.05074911692385742,38.70653971507624,38.65579059815238,282.14067698735556
265,0.3222919009150278,38.62751466064252,38.949806561557544,281.5646455848841
270,0.8829127938496005,43.92884118911161,44.81175398296121,320.2072074538468
275,1.5449435500444229,42.250000157938516,43.79494370798294,307.96975743697453
280,2.43847154678697,47.339362079758175,49.777833626545146,345.06726159585384
285,3.478408847305046,41.10536980072406,44.58377864802911,299.6262892204402
290,4.601539609027168,43.389430095631184,47.990969704658355,316.27531862551587
295,5.713897596887007,39.03327793776046,44.74717553464747,284.52234540887724
300,6.795630578415241,41.1304146401259,47.92604521854114,299.8088466899502
305,7.756551809205802,42.502585279270264,50.259137088476066,309.81090721822756
310,8.712442395989642,43.45350928373193,52.16595167972157,316.7424062454537
315,9.612982336379739,40.995350035137015,50.60833237151675,298.8243303945359
320,10.247669280517478,44.235344422431574,54.48301370294905,322.4413784850027
325,10.664778072997192,46.7994371671057,57.464215240102895,341.1316274239681
330,11.017681260347443,47.96265759124137,58.98033885158881,349.61060282107195
335,11.464845683532726,52.60128722233584,64.06613290586857,383.42261789770885
340,11.762386930563311,55.204945329427204,66.96733225999051,402.40126766557347
345,11.999171655755985,50.08492783564207,62.08409949139806,365.0803081451082
350,12.342351131052009,51.83213620323784,64.17448733428985,377.8161030598738
355,12.699213542331952,47.94653079992339,60.64574434225534,349.49305101061356
360,13.088221638863013,49.931070039818465,63.019291678681476,363.9588040532158
365,13.626650437470062,46.05811188503499,59.68476232250505,335.7279406441394
370,14.144223462615143,46.603777071386936,60.74800053400208,339.70541696258704
375,14.570462038754865,42.95134900149918,57.52181104025405,313.0820469617711
380,15.067203522242494,40.63271247450445,55.699915996746945,296.18098362132736
385,15.447019328204256,44.17428816371114,59.621307491915395,321.9963256774796
390,15.72468129118192,47.73117866111912,63.45585995230104,347.9233008164559
395,16.192199261669387,54.7068746566545,70.8990739183239,398.7707184654107
400,16.945036299039437,57.70258987392251,74.64762617296195,420.6071607225342
405,17.670541143006908,59.566735161470795,77.2372763044777,434.1953351577396
410,18.16673238645349,63.11344096220648,81.28017334865997,460.0480717511062
415,18.65636526108163,64.4948679388315,83.15123319991314,470.11760380596377
420,19.119626374823536,62.05680642197785,81.1764327968014,452.34602484371464
425,19.312653627154496,65.0094073148679,84.3220609420224,473.8681970896877
430,19.469661284066802,67.11209393952262,86.58175522358943,489.19515300306455
435,19.483855753811632,59.85926817602749,79.34312392983912,436.32767412101896
440,19.53255482683273,62.72505462697704,82.25760945380978,457.21703636636494
445,19.67763780076161,62.87088758530587,82.54852538606748,458.2800456121627
450,19.957828439194234,62.18250498746167,82.1403334266559,453.2622699698097
455,20.311700923434575,60.18348569220337,80.49518661563795,438.69096854564026
460,20.695850213955485,62.79255726073745,83.48840747469293,457.70907825199424
465,21.051127019324994,58.781643800545346,79.83277081987035,428.47262758173395
470,21.444837219699586,55.92219998314271,77.3670372028423,407.62949821940936
475,21.795813288139303,54.0511758405014,75.8469891286407,393.9911822616827
480,22.167189305951858,52.57281746133107,74.74000676728292,383.2150954040248
485,22.172059499892477,51.975059901837255,74.14711940172973,378.857906056918
490,21.800650679391083,57.28207851505433,79.08272919444542,417.5419588123327
495,21.27917944440972,50.26764902888577,71.54682847329549,366.4122040350845
500,20.420285643906826,52.36404963506174,72.78433527896857,381.6933397454102
505,19.410046959093087,51.53022273794249,70.94026969703557,375.61538788055105
510,18.285957571311307,58.26753593992976,76.55349351124107,424.7251797110036
