#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
1,13655.73212596816,42.96998340664257,13698.702109374803,215.33729066686246
2,13655.74359899149,42.951031704321224,13698.69463069581,215.24231720148353
3,13655.681625093106,43.02197802716187,13698.703603120268,215.59785350222413
4,13655.542984574538,43.15840209009473,13698.701386664634,216.281521164269
5,13655.330391801697,43.368377959155254,13698.698769760853,217.33378209537105
6,13655.032633174776,43.66210972508346,13698.69474289986,218.8057724859467
7,13654.660214006297,44.02797607018154,13698.688190076478,220.63925393633582
8,13654.229966201274,44.47264369988797,13698.702609901162,222.86763558875776
9,13653.705710755065,44.99722286631007,13698.702933621375,225.49648129643737
10,13653.130236363748,45.59098939074856,13698.721225754496,228.47204853022643
11,13652.456595075157,46.260005736260375,13698.716600811416,231.82471836700577
12,13651.71902419346,47.00043557155726,13698.719459765018,235.53526563794316
13,13650.901834500757,47.81785826357907,13698.719692764336,239.63165045996706
14,13650.013105185884,48.710570780129636,13698.723675966014,244.10533835598517
15,13649.044535204428,49.68270600116351,13698.727241205592,248.97704060167197
16,13647.996591889962,50.71102851661587,13698.707620406578,254.1303166063123
17,13646.884397923226,51.83201591423771,13698.716413837465,259.7479680443221
18,13645.699485497022,53.03032534210856,13698.72981083913,265.7531066345869
19,13644.43430464131,54.28811442843387,13698.722419069745,272.0563181465972
20,13643.09962964346,55.6329580766141,13698.732587720075,278.79578985709605
21,13641.682878490628,57.06275255400542,13698.745631044634,285.9609792419328
22,13640.192107165116,58.55425380575753,13698.746360970874,293.4354023884143
23,13638.63717993832,60.13460403688818,13698.771783975208,301.3550781736233
24,13636.9974204639,61.773781336075466,13698.771201799977,309.56955652678585
25,13635.28499835095,63.49089792174972,13698.775896272698,318.1746153144294
26,13633.497324683256,65.26564450283819,13698.762969186095,327.0684777293911
27,13631.639716640106,67.14807240867884,13698.787789048785,336.5019681099519
28,13629.703468234564,69.07502617250307,13698.778494407066,346.15859280108646
29,13627.687578494208,71.0838808470615,13698.77145934127,356.2256509814254
30,13625.612410266878,73.18049862453093,13698.79290889141,366.73252010193926
31,13623.453062232984,75.34007333427878,13698.793135567263,377.5548879532122
32,13621.229558291652,77.57794941594084,13698.807507707594,388.76965077294335
33,13618.924201439404,79.88282855757924,13698.807029996984,400.32018885386464
34,13616.549478820378,82.24877402856706,13698.798252848945,412.17675120732576
35,13614.105702170935,84.70376449425635,13698.80946666519,424.47954849937196
36,13611.56788520809,87.24824656733415,13698.816131775424,437.23081885900336
37,13608.97615718616,89.83956731234011,13698.8157244985,450.2168138313021
38,13606.30155759615,92.5150371559735,13698.816594752125,463.62450873164147
39,13603.566435724795,95.25293625387837,13698.819371978674,477.34505798768197
40,13600.747250150382,98.06756972912368,13698.814819879506,491.45014946616465
41,13597.85482453491,100.96525431275302,13698.820078847662,505.9714384678593
42,13594.901344427197,103.91749262606379,13698.81883705326,520.7661148766236
43,13591.871179966052,106.95738754441479,13698.828567510467,536.00006852829
44,13588.754637990016,110.04901520011865,13698.803653190134,551.4932726291577
45,13585.579424874819,113.22762587647011,13698.80705075129,567.4223784110435
46,13582.330737579807,116.4633185681207,13698.794056147928,583.6375417043786
47,13579.01307949273,119.77838160410896,13698.791461096838,600.2504569527755
48,13575.610924834773,123.16810001412995,13698.779024848904,617.2374958266296
49,13572.151948809384,126.6539517129721,13698.805900522355,634.7062915064322
50,13568.608272562205,130.19385733917244,13698.802129901378,652.4459699128365
51,13565.009689860051,133.8131059656752,13698.822795825727,670.583263243985
52,13561.336316938685,137.47391755199152,13698.810234490677,688.928842789109
53,13557.586599139,141.21971768094986,13698.80631681995,707.7003290034784
54,13553.749410509645,145.02478485354493,13698.77419536319,726.7688226539874
55,13549.86902844941,148.90660961747264,13698.775638066882,746.2219748601972
56,13545.908632876062,152.87991836929672,13698.78855124536,766.1335846344859
57,13541.864501388987,156.9049024628527,13698.76940385184,786.3041572288794
58,13537.768974946744,161.00129353004766,13698.770268476792,806.8325746027929
59,13533.602197941094,165.14207327563375,13698.744271216729,827.5834388334011
60,13529.347552433424,169.3827868148235,13698.730339248248,848.8351054999105
61,13525.033319832179,173.71115828576498,13698.744478117944,870.5260560579271
62,13520.658622792289,178.09362989390394,13698.752252686192,892.4881209158625
63,13516.216886623974,182.55885141178462,13698.775738035758,914.8648738875464
