#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
10,-8.742181914007404,0.2673761235061617,-8.474805790501241,2.6798264956241424
20,-8.796247618353107,0.6126964435677665,-8.18355117478534,6.140863072277076
30,-8.788432585155704,0.797342845428944,-7.9910897397267595,7.99151567932575
40,-8.739746110594012,1.2670410082839203,-7.472705102310092,12.699152117684623
50,-8.933668898498752,1.811339622639539,-7.1223292758592125,18.154485335753662
60,-9.403995024120547,3.340612368323418,-6.063382655797129,33.481903390810835
70,-10.117268400346973,4.043238602260591,-6.074029798086381,40.52410436797495
80,-10.851620243942477,5.130196086536599,-5.721424157405878,51.41833616318116
90,-10.723076479589679,4.9865619191642025,-5.736514560425476,49.9787362379747
100,-12.070827441370227,6.71219679999154,-5.358630641378687,67.27422999700417
