#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
5,517.1100219284774,5.192539826802656,522.3025617552801,25.49054096066807
10,517.2531547271197,6.5009999776529535,523.7541547047728,31.91386330063152
15,517.6096670895397,10.199252471226195,527.8089195607658,50.068843293990426
20,518.2370818121364,13.27380905895333,531.5108908710897,65.16205649012466
25,519.473681932408,18.427934606020436,537.9016165384285,90.46401906646929
30,521.5934253892768,23.616537435028246,545.2099628243051,115.93523302977209
35,524.4128829841028,25.499028113706167,549.9119110978089,125.17651135473065
40,528.0225182471247,30.20534662473758,558.2278648718623,148.28015789012312
45,531.7243483096419,27.97946479515803,559.7038131047999,137.3531484028523
50,535.3249070049853,27.329839261601986,562.6547462665873,134.16409125075668
55,538.7192234395279,23.890539962193827,562.6097634017217,117.28033058800143
60,541.5431677241119,24.79945265337083,566.3426203774827,121.74224652064913
65,543.8723537702652,22.645774021268902,566.5181277915342,111.1696875766932
70,544.963347902867,15.507397888226896,560.4707457910939,76.12690017760137
75,544.8106169978071,18.719816977781377,563.5304339755885,91.89689003159206
80,543.7375939339162,24.118899635404897,567.8564935693211,118.40136418579975
85,542.6763254949415,28.296345274037314,570.9726707689788,138.90873682314992
90,542.1042331797169,34.773178530037846,576.8774117097547,170.7039639979714
95,541.0091543152092,38.897394357879456,579.9065486730887,190.9500277734641
100,539.7974239663996,46.15798542118661,585.9554093875862,226.59277680787133
105,538.9943395567618,52.63701852001349,591.6313580767753,258.3988031648932
110,539.5629078942109,52.83244083903218,592.395348733243,259.3581449886884
115,541.4188246934556,55.22222903827907,596.6410537317347,271.0897823014703
120,544.355570132864,52.7540329209261,597.1096030537901,258.9732350381076
125,547.4406067965785,45.584119843191466,593.02472663977,223.7756305731336
130,550.6727660358465,50.604518375449175,601.2772844112957,248.42111788645732
135,554.0918374659481,44.19326221803881,598.2850996839869,216.94781327235768
140,556.8016197844524,40.310280892682655,597.111900677135,197.8859865315029
145,557.9363439869884,40.19841077433592,598.1347547613243,197.33680830098209
150,558.0260973348951,38.32341159476897,596.3495089296641,188.1323062688041
155,557.1261078301317,41.502269583540944,598.6283774136726,203.7375423331819
160,555.8932244399433,45.094294017651286,600.9875184575945,221.37104135745238
165,555.0840713778127,46.54886048100788,601.6329318588206,228.51160979812548
