#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
20,-106.37404142832474,10.195413933365446,-96.1786274949593,50.049999643323865
40,-106.11040278661177,23.072753851536675,-83.0376489350751,113.26576140873959
60,-105.00663916422324,33.04874520680027,-71.95789395742298,162.2386002788461
80,-103.62436037859574,36.62046071255606,-67.00389966603967,179.77240135425987
100,-102.17021529144215,38.49308022915072,-63.67713506229143,188.965221454572
120,-100.61436111021774,34.39595912348315,-66.21840198673459,168.85216756411293
140,-98.16172303858717,31.260980916433542,-66.90074212215363,153.46234041534237
160,-96.10696697863419,45.07901823338058,-51.02794874525361,221.29605146471263
180,-94.15753434955452,40.13850995659015,-54.019024392964376,197.04275099968908
200,-91.70215022746754,46.602901682749014,-45.09924854471853,228.7769018348732
220,-88.30734675084749,50.913910427863584,-37.3934363229839,249.9399450978089
240,-84.81873495993352,54.060200993194165,-30.758533966739357,265.38530540409795
260,-81.29104617691183,53.53958804422516,-27.751458132686672,262.82958004753
280,-79.85128166065653,57.57653126651944,-22.274750394137087,282.6472165021641
300,-80.82834148036594,50.68195768518337,-30.146383795182565,248.8012728708363
320,-80.42997380835497,53.85592223660529,-26.574051571749685,264.3824867092186
340,-80.69815860138705,51.16553631737204,-29.532622284015012,251.17519417768537
360,-83.41152243614708,46.582207529622046,-36.829314906525035,228.67531279068206
380,-85.81441447153382,56.072106847206875,-29.742307624326948,275.2618918707053
400,-85.79918439045116,54.98508351319977,-30.81410087725139,269.9256183427328
420,-85.4922873257642,56.04895692321542,-29.443330402548774,275.1482472756856
440,-84.88067336234465,66.49978286236285,-18.380890499981803,326.4520823083166
460,-82.90593901716544,76.63571526060795,-6.270223756557485,376.21008293806295
480,-81.5583427802292,84.32600165707817,2.7676588768489694,413.96223639803924
500,-79.47281367227411,73.89152327938383,-5.581290392890281,362.73865268725194
520,-76.11010512654879,64.7794131337316,-11.330691992817194,318.0066670591531
540,-73.22802027405028,61.350197262711866,-11.877823011338414,301.1724066511734
560,-71.66503372568357,60.41854632871198,-11.246487396971588,296.59886709513853
580,-72.94131085261402,42.46361191676942,-30.4776989358446,208.45683904341513
600,-74.86387435555541,43.63722172812323,-31.22665262743218,214.21817164094998
620,-77.85983810648911,44.888235030874704,-32.971603075614404,220.35948338814615
640,-82.522149282545,60.121151638796,-22.400997643749,295.13893577488966
660,-86.56852878347681,68.49684084943844,-18.071687934038366,336.2557795582856
680,-88.87616955334974,56.81555700219835,-32.060612551151394,278.91154064763043
700,-89.76058754992718,74.72256264325262,-15.038024906674565,366.8182830129126
720,-89.52471835806938,74.77257141464418,-14.752146943425203,367.06377956721326
740,-87.75639969691741,83.38221050905672,-4.3741891878606936,409.3290996827893
760,-84.30894358948152,79.14066073965333,-5.168282849828188,388.5070353867
780,-79.07276329113994,75.43286284767305,-3.6399004434668853,370.30519636535166
800,-72.85631599653246,66.78334681102301,-6.07296918550945,327.84411755299215
820,-70.56655152326425,63.995331718853954,-6.571219804410298,314.1575565873815
840,-72.90210962139912,69.04392909817581,-3.858180523223311,338.941474012001
860,-76.41040849456519,72.88799226445519,-3.5224162301099966,357.8122487896258
880,-78.96573400101146,68.97158017871409,-9.994153822297363,338.5863081092804
900,-79.56384651527345,64.48358652573003,-15.080259989543421,316.5544335626288
920,-77.34977464201371,58.513603102062014,-18.8361715399517,287.2473676427851
940,-76.6305032758079,48.57574862829857,-28.054754647509327,238.46174538967472
960,-78.05728845571942,51.78691769289233,-26.270370762827085,254.22559878375833
980,-80.54114421981664,60.6050002373032,-19.936143982513443,297.51418236526666
1000,-83.53577126934836,64.95982438216606,-18.575946887182297,318.89231848819867
1020,-86.93105509197581,61.85668933133158,-25.074365760644227,303.65881161907794
1040,-90.57107118200172,64.10895374310219,-26.462117438899526,314.71533504642844
1060,-93.70906219626916,71.247050348822,-22.462011847447158,349.75675022635704
1080,-95.38186206577979,72.35412943169118,-23.027732634088608,355.1914788273608
1100,-95.94078933529158,70.4207049951036,-25.520084340187978,345.70016312462906
1120,-95.93862344253766,57.98041816462121,-37.95820527791645,284.62992551604555
1140,-95.41061028256857,58.25464037013341,-37.15596991243516,285.97610149063365
1160,-94.0548238138205,55.05994685336138,-38.99487696045912,270.2931277124234
1180,-91.62516390550923,55.60318843623899,-36.02197546927024,272.95993861455696
1200,-88.16749119933357,52.88049853422236,-35.28699266511121,259.59406357353924
1220,-84.1809991779391,49.69639830944841,-34.48460086849069,243.96309300620314
1240,-80.48994528211875,50.35985463260013,-30.13009064951862,247.22004647117575
1260,-78.4305545407756,63.74644824922547,-14.68410629155013,312.93577023838697
1280,-77.44365547321755,46.41260085007726,-31.031054623140285,227.8427017455394
1300,-76.99104177287616,46.3715084062291,-30.61953336664706,227.6409760663874
1320,-76.90124322285581,50.86509863338505,-26.03614458947076,249.7003245868412
1340,-76.88671776969352,55.06548682894693,-21.821230940746588,270.320323839809
1360,-76.61793502566576,58.27132454958363,-18.346610476082127,286.0580052937544
1380,-77.28245894847582,48.02738236202993,-29.255076586445888,235.7697770585668
1400,-77.44589235246268,46.98490872573019,-30.460983626732485,230.65220111059804
1420,-76.16004546490315,41.51018366524223,-34.64986179966092,203.77639311343617
1440,-75.6671454178052,41.57849450035004,-34.08865091745516,204.11173577780727
1460,-75.81703404656805,45.18796862659486,-30.629065419973195,221.83089656047372
1480,-77.68681794863913,42.34652994761395,-35.34028800102518,207.88207547297355
1500,-80.22294552476939,64.93174962236166,-15.291195902407722,318.7544975299345
1520,-82.03997050697316,55.030440601807854,-27.00952990516531,270.1482794611036
1540,-81.78999625617011,53.76353342777002,-28.026462828400092,263.9289435888045
1560,-81.2307387622787,57.54153414064391,-23.689204621634794,282.4754131649935
1580,-81.25488255068079,58.797664137625844,-22.457218413054946,288.64184312181635
1600,-81.32871380523436,60.85166696118697,-20.477046844047386,298.7250865544531
1620,-81.70688442029333,71.65966313256158,-10.047221287731759,351.7822952227611
1640,-82.60452729366682,76.06700035956091,-6.537526934105912,373.41822173648825
1660,-83.54952137234277,69.20703694246984,-14.342484429872925,339.74218182063873
1680,-84.82149550282303,74.42540594557634,-10.396089557246682,365.35952001320385
1700,-85.46856258106983,78.3601102795663,-7.108452301503533,384.6752586188041
1720,-85.78576211047098,75.68617383275117,-10.099588277719818,371.54871769716533
1740,-85.43213480431338,68.61784489659362,-16.814289907719754,336.8497968837753
1760,-85.12063999549434,67.0740147675298,-18.04662522796454,329.2710268687465
1780,-84.30700470705591,61.6314783740539,-22.67552633300201,302.5532352878873
1800,-83.71234021570956,56.345618402825856,-27.366721812883704,276.6045792152942
1820,-84.02207987631805,55.997349238043725,-28.02473063827432,274.8949015418765
1840,-85.06082322106228,41.872056446594264,-43.188766774468014,205.5528518914683
1860,-85.8485929618783,41.35287046845294,-44.495722493425355,203.00413163443656
1880,-86.78807215161079,55.25244848103597,-31.53562367057482,271.23813165825857
1900,-88.60740217509823,52.04120993777291,-36.56619223732532,255.4739371885309
1920,-90.49159962177296,52.37081348604382,-38.12078613572914,257.09198404579587
1940,-91.9612478669157,57.00995004508334,-34.951297821832355,279.8658296829405
1960,-92.97584077770328,61.3050167954333,-31.67082398226998,300.95061257925477
1980,-93.12895431368122,81.90760638742927,-11.221347926251951,402.09016497706176
2000,-92.04305991876606,82.39333681111069,-9.649723107655376,404.47464957875576
