#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
5000,-100.85361541344443,186.72149075739057,85.86787534394614,311.908428017983
10000,-145.36200806299982,157.84751779620848,12.485509733208659,263.6759750720192
15000,-126.61465119428127,162.80064397764406,36.18599278336279,271.94991180399194
20000,-166.46223397498463,162.26498907695128,-4.197244898033347,271.05512846996055
25000,-130.50000940684782,158.67220828739633,28.172198880548507,265.0535771555522
30000,-156.43954422608073,167.11748022257257,10.67793599649184,279.1609596684082
35000,-85.22442987485124,229.27873558794366,144.05430571309242,382.9980668272685
40000,-117.9776836404156,175.59065402435405,57.612970383938446,293.3149507816792
45000,-133.66289888495473,211.72955553793088,78.06665665297615,353.6830847103138
50000,-126.54355789243277,191.26141025223006,64.71785235979729,319.4921247163103
55000,-113.87489706235785,174.8808309404358,61.005933878077954,292.12922865950804
60000,-132.28177950509823,182.3362999783325,50.05452047323428,304.58319750002335
65000,-86.1495033999914,174.13595690084796,87.98645350085656,290.8849557597103
70000,-160.03500736517677,168.10414679900063,8.069139433823864,280.8091342817495
75000,-130.424188036533,161.61286015743585,31.18867212090285,269.965781414482
80000,-166.98639635007274,186.36559349251854,19.379197142445804,311.3139203586243
85000,-157.76350047920187,226.16470110010934,68.40120062090747,377.7962360259271
90000,-106.8969637996171,147.6405893214898,40.743625521872715,246.62583797999045
95000,-133.22525637991725,172.40890221219158,39.18364583227432,288.0000017522479
100000,-167.62570394560447,174.79091057203064,7.165206626426169,291.97902141425584
105000,-202.06616342631435,172.32965969869338,-29.73650372762097,287.8676313019202
110000,-137.1573123259252,193.45565340913566,56.29834108321046,323.1574924840136
115000,-178.64105468935873,225.16321448856513,46.522159799206406,376.12330532351706
120000,-152.27284726332653,177.11957361584692,24.846726352520392,295.8689305320233
125000,-161.56874841688295,174.127205477684,12.558457060801032,290.8703369676746
130000,-120.51656936223108,202.847388689424,82.33081932719293,338.84589222714715
135000,-143.8445711868572,160.03695788105495,16.19238669419775,267.3333195605083
140000,-81.54661582476518,186.93114270584792,105.38452688108273,312.2586405693556
145000,-118.73430121348596,170.11788800641406,51.3835867929281,284.1729830379457
150000,-172.8018296812699,192.82757589637743,20.025746215107517,322.10832203832337
155000,-124.04097245343384,237.93636398614888,113.89539153271504,397.46017964082074
160000,-212.15415886446442,166.9245270935564,-45.229631770908014,278.83864161648785
165000,-228.47919807664073,192.2704188193086,-36.20877925733214,321.17762044975564
170000,-209.04346619778732,147.54070038986274,-61.50276580792459,246.45897877426205
175000,-224.08896720877183,183.7974082549727,-40.291558953799125,307.02390201605056
180000,-177.41819560761377,141.01422763467556,-36.403967972938204,235.55684935511778
185000,-184.16962066275067,189.9408332052149,5.7712125424642124,317.28617022687064
190000,-173.80279473048762,178.9962088203875,5.193414089899875,299.0037509227409
195000,-143.43060704829708,234.9516829440467,91.52107589574962,392.4744269660697
200000,-177.01149822593183,176.932092162649,-0.07940606328281774,295.55575262672545
205000,-159.94661501027468,168.5383360429814,8.591721032706715,281.5344245737401
210000,-183.6840108900089,175.99036249515026,-7.693648394858627,293.9826427558907
215000,-130.94893985994577,158.84253717274922,27.89359731280345,265.3381025985582
220000,-176.60506585828375,165.7434886953479,-10.861577162935845,276.8657790995925
225000,-141.7586849335504,204.79030475409058,63.031619820540186,342.09143130806865
230000,-160.53258850762336,209.47048781682128,48.93789930919792,349.90943091813733
235000,-84.27859822108849,166.4431612654891,82.16456304440061,278.03454532245644
240000,-90.01219018354098,175.368986246745,85.35679606320403,292.9446664197891
245000,-179.97075562558067,151.94715005298363,-28.023605572597035,253.8197211397469
250000,-176.50253282653227,213.03730120537563,36.53476837884335,355.8676050551626
255000,-141.12675047448684,168.14914142161246,27.022390947125615,280.8842954319266
260000,-173.17708019165946,173.686856732876,0.5097765412165529,290.13475755356626
265000,-186.40773726644136,176.45744244143424,-9.95029482500712,294.7628752358973
270000,-170.40922053446684,185.73566386561208,15.326443331145242,310.26165605367805
275000,-196.88049756507215,194.45062011980175,-2.4298774452703924,324.8195320349794
280000,-220.93223302539758,151.03516489472727,-69.8970681306703,252.2962979069222
285000,-182.9685707647825,138.00583745031014,-44.96273331447236,230.53149180541104
290000,-178.84553075574564,193.98535477727614,15.1398240215305,324.0423307550958
295000,-170.11566073291328,145.09719630254548,-25.0184644303678,242.37723373442137
300000,-172.4356965180213,158.08837472980773,-14.347321788213577,264.0783139095651
305000,-158.84272701747517,202.50040439670977,43.6576773792346,338.26627321892033
310000,-135.99954012890456,170.40563388393215,34.4060937550276,284.65364738976336
315000,-213.56956284363332,203.03396525181884,-10.53559759181448,339.1575585599593
320000,-227.48187762576856,149.81869096899482,-77.66318665677375,250.26424220534756
325000,-214.65300004750407,195.85968124400634,-18.793318803497726,327.17329452074995
330000,-170.47878212736777,205.92061109851187,35.441828971144105,343.9795485978201
335000,-215.8360689822414,177.22560161860355,-38.61046736363784,296.04604473313407
340000,-204.36711072429546,177.57067939268356,-26.7964313316119,296.6224790022729
345000,-192.80775816363519,171.15549893220006,-21.652259231435124,285.90625750701423
350000,-224.2261836579338,180.748182686967,-43.478000970966804,301.9303311060762
355000,-198.09679410704663,157.25771354759854,-40.83908055944809,262.690738100763
360000,-174.09522480940439,168.1980584552788,-5.897166354125574,280.9660087634359
365000,-207.8406760582259,169.23354954084252,-38.60712651738339,282.69574215092507
370000,-184.16520033556878,150.30852000531578,-33.856680330253,251.08247584356835
375000,-201.2851974950072,181.73313920989042,-19.55205828511677,303.57564916499354
380000,-192.50760963587658,175.27245656016385,-17.23515307571273,292.78341865620024
385000,-126.52279759954679,183.9065417626534,57.38374416310661,307.2062037997751
390000,-218.99721861869892,193.22653151315026,-25.77068710554866,322.77475640949194
395000,-193.07416448165316,156.30115956192134,-36.77300491973182,261.09286498622913
400000,-197.79665080494135,200.22392059895853,2.427269794017178,334.4635267868689
405000,-195.32968615911125,149.164502912471,-46.165183246640254,249.17145546981527
410000,-186.8589152234571,172.30332823401176,-14.555586989445345,287.8236459753092
415000,-159.93547979385656,194.43968851508984,34.50420872123328,324.80127136435397
420000,-188.36153357707587,174.96187579698892,-13.399657780086955,292.26460982909856
