#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
5,13853.443841837616,2.9269281576249115,13856.370769995241,14.368494913752365
10,13850.166480225396,10.076873600920853,13860.243353826318,49.46807686555854
15,13844.396838753855,17.589791723288773,13861.986630477144,86.34951707018526
20,13835.956291524786,30.134274211236008,13866.090565736022,147.93125844438677
25,13825.783340897362,38.363301257617536,13864.14664215498,188.32812741195644
30,13814.620561501877,49.43618120860196,13864.05674271048,242.68566906935544
35,13802.721868662014,63.618577662493074,13866.340446324508,312.3080445901517
40,13789.915597402554,77.50006764195767,13867.415665044511,380.45324919506845
45,13777.18058274928,86.56305497007457,13863.743637719355,424.94408747827373
50,13765.61495186787,104.1319690988247,13869.746920966694,511.19111497755557
55,13754.784405774128,109.17687747807481,13863.961283252202,535.9569228429673
60,13745.572437539044,115.37139412446733,13860.943831663511,566.3662380477074
65,13737.749635382974,121.09033082692758,13858.839966209902,594.4408980653457
70,13731.911783018744,132.24936747087912,13864.161150489623,649.2213889507464
75,13728.401589210138,133.3457588890106,13861.747348099148,654.6036510585006
80,13727.368609991401,117.89078489586566,13845.259394887267,578.7341034462098
85,13729.019028089842,113.34760652550517,13842.366634615348,556.4313232646266
90,13733.249791762415,106.79435168721741,13840.044143449633,524.2609372006011
95,13739.43561064273,89.98607386638382,13829.421684509114,441.7479265042401
100,13747.069803239398,78.57482278842608,13825.644626027824,385.7292973328852
105,13755.012123845368,71.27493477599882,13826.287058621367,349.89363682844845
110,13762.460102226687,63.31115531437668,13825.771257541064,310.7988867948785
115,13768.747357857674,51.771126261496875,13820.518484119171,254.14807754324025
120,13773.660768747102,53.186945093928024,13826.84771384103,261.098431155298
125,13776.607225064476,56.93299217188057,13833.540217236356,279.488038104146
130,13778.2147468096,56.540197660222006,13834.754944469822,277.55978239065564
135,13777.212841154347,53.870166132726034,13831.083007287074,264.4524109909027
140,13773.860182327722,67.52594979941489,13841.386132127138,331.48960752986414
145,13767.91529322041,69.16591819533058,13837.081211415742,339.54032701679216
150,13759.541276495896,76.15538847651119,13835.696664972407,373.8521251807965
155,13750.2343726346,74.80351121048736,13825.037883845089,367.21566518765366
