#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
10,323.848395656504,3090.1983760539947,3414.046771710499,15486.041491459786
20,172.70670997482065,3240.5520132231586,3413.258723197979,16239.51501653709
30,131.3757375880046,3280.4079189750223,3411.783656563027,16439.246598475598
40,206.70085297812972,3207.574485437132,3414.2753384152616,16074.253340284351
50,438.093419535746,2976.6526921486743,3414.74611168442,14917.025215430507
60,256.67715337551357,3161.2696427254136,3417.9467961009273,15842.203928490646
70,475.436948972827,2932.3656295376313,3407.8025785104583,14695.087590181589
80,641.5829731248328,2771.3563421387453,3412.939315263578,13888.21495556664
90,715.3230725208676,2695.573737279907,3410.896809800775,13508.442390714847
100,587.3352052897383,2815.218561036826,3402.553766326564,14108.02354359345
110,572.5341450417633,2841.252038204943,3413.786183246706,14238.486206028487
120,451.5361860756376,2967.0033871256833,3418.5395732013208,14868.669246083127
130,286.5996509925698,3134.9426552345712,3421.542306227141,15710.270385392698
140,300.865242125739,3117.1139725080234,3417.9792146337622,15620.924755487233
150,334.21155909420145,3080.5308603921117,3414.7424194863133,15437.594262369455
160,368.63738449256243,3046.0766714320816,3414.714055924644,15264.932531677932
170,404.3523081869551,3008.0764407283473,3412.4287489153025,15074.500372395483
180,284.8016249635079,3124.69494155044,3409.496566513948,15658.915585476034
190,184.89589152583795,3226.952671073076,3411.848562598914,16171.36405949023
200,170.12383294002257,3239.9367912040416,3410.060624144064,16236.431928477654
210,159.2339847563997,3243.953362613432,3403.187347369832,16256.560342232973
220,281.8673637312742,3125.1642528760744,3407.0316166073485,15661.26746512153
230,937.6320854579474,2463.897132129485,3401.529217587432,12347.431645333078
240,420.6752567802283,2987.660372399405,3408.335629179633,14972.188467863903
250,777.5030985978774,2635.1221076923102,3412.6252062901876,13205.498589024259
260,536.508605952221,2866.164276141129,3402.67288209335,14363.329954997615
270,838.7418334845373,2568.639063595111,3407.3808970796485,12872.329305347892
280,935.2664642586014,2473.707571572044,3408.9740358306453,12396.595114395192
290,244.51037992754328,3159.1659592781816,3403.676339205725,15831.661650881164
300,180.59082616315334,3230.7674011128083,3411.358227275962,16190.48097707448
310,199.70579943819132,3204.9607892522945,3404.6665886904857,16061.155214326447
320,617.89240564118,2787.1688281234237,3405.0612337646035,13967.456733680103
330,518.5063267690708,2888.5839484910434,3407.090275260114,14475.682604887703
340,285.8651513042271,3122.3203229609503,3408.1854742651776,15647.015559157922
350,359.42679230343754,3051.076138723746,3410.502931027184,15289.986573034583
360,597.986463801668,2807.1784371628646,3405.1649009645325,14067.731731626467
370,1042.8358801809245,2366.357438950939,3409.1933191318635,11858.626865894923
380,350.6928314632352,3051.374865477357,3402.067696940592,15291.483595017662
390,255.52577830309173,3148.847451784226,3404.3732300873176,15779.952078958671
400,425.9316187454491,2979.3397366966515,3405.2713554421007,14930.49091513504
410,257.8619381626157,3142.116507256128,3399.978445418744,15746.221012679378
420,345.11058766687637,3057.662526037645,3402.773113704521,15322.993213647766
430,597.5135696446843,2811.4917589105225,3409.0053285552067,14089.347262871275
440,520.2412302898812,2888.995787196797,3409.2370174866783,14477.74646956853
450,369.52226789187347,3028.241870781429,3397.7641386733026,15175.556242761295
460,310.2574420899427,3101.3720953721595,3411.6295374621022,15542.036822476686
470,539.1459078510753,2867.964488644901,3407.110396495976,14372.35143586528
480,567.1638268824686,2837.8594372276325,3405.023264110101,14221.484721623565
490,445.6733080902319,2955.7136625746684,3401.3869706649,14812.09257314881
500,385.2378269294445,3015.023462293068,3400.2612892225125,15109.314274644279
510,405.8176740775317,2996.8171575537026,3402.634831631234,15018.076251614833
520,352.52211304408803,3046.678163888514,3399.2002769326023,15267.946816200663
530,319.55880456906635,3078.549284022243,3398.1080885913093,15427.663905108226
540,278.6033858039899,3118.962432496909,3397.565818300899,15630.188021012516
550,502.7868363101882,2900.6188900803913,3403.4057263905797,14535.993815405494
560,783.1797872171911,2616.007448626354,3399.187235843545,13109.70849163624
