Epsilon(kCal/mol) T(Kelvin) Cv(kCal/mol*Kelvin)
0.5 52.47 0.0384
0.5 54.94 0.0386
0.5 57.66 0.0388
0.5 60.38 0.039
0.5 63.36 0.0391
0.5 66.35 0.0391
0.5 69.63 0.0387
0.5 72.91 0.0382
0.5 76.52 0.0373
0.5 80.12 0.0362
0.5 84.08 0.0349
0.5 88.04 0.0334
0.5 92.4 0.0317
0.5 96.75 0.0301
0.5 101.54 0.0283
0.5 106.32 0.0267
0.5 111.58 0.0251
0.5 116.83 0.0237
0.5 122.61 0.0224
0.5 128.39 0.0212
0.5 134.74 0.0202
0.5 141.08 0.0194
0.5 148.06 0.0187
0.5 155.04 0.0181
0.5 162.7 0.0177
0.5 170.37 0.0174
0.5 178.79 0.0171
0.5 187.22 0.0169
0.5 196.47 0.0168
0.5 205.73 0.0166
0.5 215.9 0.0165
0.5 226.08 0.0163
0.5 237.26 0.016
0.5 248.43 0.0157
0.5 260.72 0.0153
0.5 273.0 0.0149
0.5 286.5 0.0144
0.5 300.0 0.0138
0.75 52.47 0.0261
0.75 54.94 0.028
0.75 57.66 0.0298
0.75 60.38 0.0314
0.75 63.36 0.0328
0.75 66.35 0.034
0.75 69.63 0.0349
0.75 72.91 0.0355
0.75 76.52 0.0359
0.75 80.12 0.036
0.75 84.08 0.036
0.75 88.04 0.0358
0.75 92.4 0.0356
0.75 96.75 0.0353
0.75 101.54 0.0349
0.75 106.32 0.0345
0.75 111.58 0.0341
0.75 116.83 0.0336
0.75 122.61 0.0331
0.75 128.39 0.0326
0.75 134.74 0.0321
0.75 141.08 0.0315
0.75 148.06 0.0309
0.75 155.04 0.0303
0.75 162.7 0.0297
0.75 170.37 0.0291
0.75 178.79 0.0284
0.75 187.22 0.0278
0.75 196.47 0.0271
0.75 205.73 0.0264
0.75 215.9 0.0257
0.75 226.08 0.025
0.75 237.26 0.0242
0.75 248.43 0.0235
0.75 260.72 0.0226
0.75 273.0 0.0217
0.75 286.5 0.0208
0.75 300.0 0.0199
1.0 52.47 0.03
1.0 54.94 0.0298
1.0 57.66 0.0298
1.0 60.38 0.0299
1.0 63.36 0.0302
1.0 66.35 0.0305
1.0 69.63 0.031
1.0 72.91 0.0314
1.0 76.52 0.032
1.0 80.12 0.0325
1.0 84.08 0.0331
1.0 88.04 0.0337
1.0 92.4 0.0344
1.0 96.75 0.035
1.0 101.54 0.0356
1.0 106.32 0.0362
1.0 111.58 0.0369
1.0 116.83 0.0374
1.0 122.61 0.038
1.0 128.39 0.0386
1.0 134.74 0.0391
1.0 141.08 0.0397
1.0 148.06 0.0403
1.0 155.04 0.041
1.0 162.7 0.0419
1.0 170.37 0.043
1.0 178.79 0.0445
1.0 187.22 0.0461
1.0 196.47 0.0482
1.0 205.73 0.0505
1.0 215.9 0.0531
1.0 226.08 0.0556
1.0 237.26 0.058
1.0 248.43 0.0598
1.0 260.72 0.061
1.0 273.0 0.0612
1.0 286.5 0.0603
1.0 300.0 0.0584
1.25 52.47 0.0458
1.25 54.94 0.0532
1.25 57.66 0.0611
1.25 60.38 0.0683
1.25 63.36 0.075
1.25 66.35 0.08
1.25 69.63 0.0836
1.25 72.91 0.085
1.25 76.52 0.0846
1.25 80.12 0.0826
1.25 84.08 0.0792
1.25 88.04 0.0752
1.25 92.4 0.0705
1.25 96.75 0.066
1.25 101.54 0.0615
1.25 106.32 0.0576
1.25 111.58 0.0539
1.25 116.83 0.0509
1.25 122.61 0.0483
1.25 128.39 0.0463
1.25 134.74 0.0446
1.25 141.08 0.0433
1.25 148.06 0.0423
1.25 155.04 0.0416
1.25 162.7 0.0411
1.25 170.37 0.0407
1.25 178.79 0.0403
1.25 187.22 0.04
1.25 196.47 0.0397
1.25 205.73 0.0394
1.25 215.9 0.0391
1.25 226.08 0.0388
1.25 237.26 0.0385
1.25 248.43 0.0383
1.25 260.72 0.0381
1.25 273.0 0.038
1.25 286.5 0.0379
1.25 300.0 0.0377
1.5 52.47 0.0326
1.5 54.94 0.0372
1.5 57.66 0.0424
1.5 60.38 0.0476
1.5 63.36 0.0532
1.5 66.35 0.0585
1.5 69.63 0.0638
1.5 72.91 0.0685
1.5 76.52 0.0729
1.5 80.12 0.0765
1.5 84.08 0.0795
1.5 88.04 0.0816
1.5 92.4 0.0832
1.5 96.75 0.084
1.5 101.54 0.0842
1.5 106.32 0.0839
1.5 111.58 0.0833
1.5 116.83 0.0825
1.5 122.61 0.0815
1.5 128.39 0.0805
1.5 134.74 0.0796
1.5 141.08 0.0789
1.5 148.06 0.0784
1.5 155.04 0.0782
1.5 162.7 0.0783
1.5 170.37 0.0787
1.5 178.79 0.0794
1.5 187.22 0.0803
1.5 196.47 0.0814
1.5 205.73 0.0823
1.5 215.9 0.083
1.5 226.08 0.0831
1.5 237.26 0.0824
1.5 248.43 0.0807
1.5 260.72 0.0778
1.5 273.0 0.0738
1.5 286.5 0.0687
1.5 300.0 0.0631
1.75 52.47 0.0517
1.75 54.94 0.0631
1.75 57.66 0.0766
1.75 60.38 0.0906
1.75 63.36 0.1058
