Epsilon(kCal/mol) T(Kelvin) Cv(kCal/mol*Kelvin)
2.5 10.44 0.0755
2.5 10.88 0.0693
2.5 11.37 0.0659
2.5 11.85 0.0645
2.5 12.37 0.0646
2.5 12.89 0.0654
2.5 13.46 0.0667
2.5 14.03 0.0678
2.5 14.65 0.0687
2.5 15.27 0.0692
2.5 15.95 0.0691
2.5 16.62 0.0685
2.5 17.36 0.0674
2.5 18.09 0.0661
2.5 18.89 0.0645
2.5 19.69 0.0631
2.5 20.56 0.0617
2.5 21.43 0.0608
2.5 22.38 0.0602
2.5 23.33 0.0602
2.5 24.36 0.0607
2.5 25.39 0.0617
2.5 26.51 0.0632
2.5 27.63 0.0649
2.5 28.86 0.0669
2.5 30.08 0.0688
2.5 31.41 0.0706
2.5 32.74 0.0719
2.5 34.18 0.0729
2.5 35.63 0.0734
2.5 37.21 0.0734
2.5 38.78 0.073
2.5 40.49 0.0723
2.5 42.21 0.0714
2.5 44.07 0.0704
2.5 45.94 0.0694
2.5 47.97 0.0685
2.5 50.0 0.0676
2.5 52.21 0.0666
2.5 54.42 0.0655
2.5 10.44 0.0755
2.5 10.88 0.0693
2.5 11.37 0.0659
2.5 11.85 0.0645
2.5 12.37 0.0646
2.5 12.89 0.0654
2.5 13.46 0.0667
2.5 14.03 0.0678
2.5 14.65 0.0687
2.5 15.27 0.0692
2.5 15.95 0.0691
2.5 16.62 0.0685
2.5 17.36 0.0674
2.5 18.09 0.0661
2.5 18.89 0.0645
2.5 19.69 0.0631
2.5 20.56 0.0617
2.5 21.43 0.0608
2.5 22.38 0.0602
2.5 23.33 0.0602
2.5 24.36 0.0607
2.5 25.39 0.0617
2.5 26.51 0.0632
2.5 27.63 0.0649
2.5 28.86 0.0669
2.5 30.08 0.0688
2.5 31.41 0.0706
2.5 32.74 0.0719
2.5 34.18 0.0729
2.5 35.63 0.0734
2.5 37.21 0.0734
2.5 38.78 0.073
2.5 40.49 0.0723
2.5 42.21 0.0714
2.5 44.07 0.0704
2.5 45.94 0.0694
2.5 47.97 0.0685
2.5 50.0 0.0676
2.5 52.21 0.0666
2.5 54.42 0.0655
