Epsilon(kCal/mol) T(Kelvin) dCv(kCal/mol*Kelvin)
0.5 52.47 0.0071
0.5 54.94 0.0067
0.5 57.66 0.0064
0.5 60.38 0.0062
0.5 63.36 0.006
0.5 66.35 0.0059
0.5 69.63 0.0058
0.5 72.91 0.0056
0.5 76.52 0.0055
0.5 80.12 0.0053
0.5 84.08 0.0051
0.5 88.04 0.0048
0.5 92.4 0.0046
0.5 96.75 0.0043
0.5 101.54 0.004
0.5 106.32 0.0037
0.5 111.58 0.0035
0.5 116.83 0.0032
0.5 122.61 0.003
0.5 128.39 0.0028
0.5 134.74 0.0027
0.5 141.08 0.0026
0.5 148.06 0.0025
0.5 155.04 0.0024
0.5 162.7 0.0024
0.5 170.37 0.0024
0.5 178.79 0.0024
0.5 187.22 0.0025
0.5 196.47 0.0026
0.5 205.73 0.0027
0.5 215.9 0.0028
0.5 226.08 0.003
0.5 237.26 0.0031
0.5 248.43 0.0033
0.5 260.72 0.0034
0.5 273.0 0.0035
0.5 286.5 0.0035
0.5 300.0 0.0036
0.75 52.47 0.0038
0.75 54.94 0.0041
0.75 57.66 0.0044
0.75 60.38 0.0047
0.75 63.36 0.005
0.75 66.35 0.0052
0.75 69.63 0.0054
0.75 72.91 0.0055
0.75 76.52 0.0055
0.75 80.12 0.0055
0.75 84.08 0.0054
0.75 88.04 0.0053
0.75 92.4 0.0052
0.75 96.75 0.005
0.75 101.54 0.0049
0.75 106.32 0.0048
0.75 111.58 0.0047
0.75 116.83 0.0046
0.75 122.61 0.0045
0.75 128.39 0.0044
0.75 134.74 0.0044
0.75 141.08 0.0043
0.75 148.06 0.0043
0.75 155.04 0.0043
0.75 162.7 0.0042
0.75 170.37 0.0042
0.75 178.79 0.0042
0.75 187.22 0.0042
0.75 196.47 0.0042
0.75 205.73 0.0042
0.75 215.9 0.0042
0.75 226.08 0.0042
0.75 237.26 0.0043
0.75 248.43 0.0044
0.75 260.72 0.0044
0.75 273.0 0.0045
0.75 286.5 0.0046
0.75 300.0 0.0046
1.0 52.47 0.0062
1.0 54.94 0.0057
1.0 57.66 0.0054
1.0 60.38 0.0051
1.0 63.36 0.005
1.0 66.35 0.0049
1.0 69.63 0.0049
1.0 72.91 0.0049
1.0 76.52 0.0049
1.0 80.12 0.005
1.0 84.08 0.005
1.0 88.04 0.0051
1.0 92.4 0.0052
1.0 96.75 0.0052
1.0 101.54 0.0053
1.0 106.32 0.0054
1.0 111.58 0.0054
1.0 116.83 0.0055
1.0 122.61 0.0056
1.0 128.39 0.0057
1.0 134.74 0.0058
1.0 141.08 0.0059
1.0 148.06 0.006
1.0 155.04 0.0061
1.0 162.7 0.0063
1.0 170.37 0.0065
1.0 178.79 0.0068
1.0 187.22 0.0072
1.0 196.47 0.0077
1.0 205.73 0.0083
1.0 215.9 0.0092
1.0 226.08 0.0102
1.0 237.26 0.0115
1.0 248.43 0.0129
1.0 260.72 0.0144
1.0 273.0 0.0157
1.0 286.5 0.0169
1.0 300.0 0.0177
1.25 52.47 0.0079
1.25 54.94 0.0097
1.25 57.66 0.0118
1.25 60.38 0.0137
1.25 63.36 0.0156
1.25 66.35 0.017
1.25 69.63 0.018
1.25 72.91 0.0183
1.25 76.52 0.018
1.25 80.12 0.0173
1.25 84.08 0.0162
1.25 88.04 0.015
1.25 92.4 0.0136
1.25 96.75 0.0124
1.25 101.54 0.0113
1.25 106.32 0.0103
1.25 111.58 0.0095
1.25 116.83 0.0088
1.25 122.61 0.0082
1.25 128.39 0.0078
1.25 134.74 0.0074
1.25 141.08 0.0072
1.25 148.06 0.007
1.25 155.04 0.0068
1.25 162.7 0.0068
1.25 170.37 0.0067
1.25 178.79 0.0067
1.25 187.22 0.0068
1.25 196.47 0.0069
1.25 205.73 0.0069
1.25 215.9 0.007
1.25 226.08 0.0072
1.25 237.26 0.0073
1.25 248.43 0.0076
1.25 260.72 0.0079
1.25 273.0 0.0084
1.25 286.5 0.0091
1.25 300.0 0.0099
1.5 52.47 0.0051
1.5 54.94 0.0059
1.5 57.66 0.007
1.5 60.38 0.0081
1.5 63.36 0.0093
1.5 66.35 0.0104
1.5 69.63 0.0115
1.5 72.91 0.0125
1.5 76.52 0.0134
1.5 80.12 0.014
1.5 84.08 0.0145
1.5 88.04 0.0148
1.5 92.4 0.0149
1.5 96.75 0.015
1.5 101.54 0.015
1.5 106.32 0.0149
1.5 111.58 0.0148
1.5 116.83 0.0147
1.5 122.61 0.0146
1.5 128.39 0.0145
1.5 134.74 0.0144
1.5 141.08 0.0144
1.5 148.06 0.0145
1.5 155.04 0.0147
1.5 162.7 0.0149
1.5 170.37 0.0152
1.5 178.79 0.0157
1.5 187.22 0.0162
1.5 196.47 0.0168
1.5 205.73 0.0174
1.5 215.9 0.0181
1.5 226.08 0.0188
1.5 237.26 0.0195
1.5 248.43 0.0202
1.5 260.72 0.0206
1.5 273.0 0.0208
1.5 286.5 0.0205
1.5 300.0 0.0199
1.75 52.47 0.0087
1.75 54.94 0.0113
1.75 57.66 0.0147
1.75 60.38 0.0182
1.75 63.36 0.022
1.75 66.35 0.0256
1.75 69.63 0.0287
1.75 72.91 0.0308
1.75 76.52 0.0319
1.75 80.12 0.0317
1.75 84.08 0.0304
1.75 88.04 0.0283
1.75 92.4 0.0255
1.75 96.75 0.0225
1.75 101.54 0.0195
1.75 106.32 0.0168
1.75 111.58 0.0144
1.75 116.83 0.0125
1.75 122.61 0.0109
1.75 128.39 0.0097
1.75 134.74 0.0088
1.75 141.08 0.0083
1.75 148.06 0.0079
1.75 155.04 0.0078
1.75 162.7 0.0079
1.75 170.37 0.0081
1.75 178.79 0.0084
1.75 187.22 0.0088
1.75 196.47 0.0093
1.75 205.73 0.0098
1.75 215.9 0.0104
1.75 226.08 0.011
1.75 237.26 0.0115
1.75 248.43 0.012
1.75 260.72 0.0125
1.75 273.0 0.0129
1.75 286.5 0.0133
1.75 300.0 0.0135
2.0 52.47 0.0141
2.0 54.94 0.016
2.0 57.66 0.0175
2.0 60.38 0.0182
2.0 63.36 0.0182
2.0 66.35 0.0175
2.0 69.63 0.0162
2.0 72.91 0.0147
2.0 76.52 0.0129
2.0 80.12 0.0113
2.0 84.08 0.0098
2.0 88.04 0.0085
2.0 92.4 0.0074
2.0 96.75 0.0066
2.0 101.54 0.0059
2.0 106.32 0.0053
2.0 111.58 0.0049
2.0 116.83 0.0046
2.0 122.61 0.0044
2.0 128.39 0.0043
2.0 134.74 0.0043
2.0 141.08 0.0043
2.0 148.06 0.0044
2.0 155.04 0.0045
2.0 162.7 0.0048
2.0 170.37 0.0051
2.0 178.79 0.0054
2.0 187.22 0.0058
2.0 196.47 0.0063
2.0 205.73 0.0067
2.0 215.9 0.0072
2.0 226.08 0.0076
2.0 237.26 0.0082
2.0 248.43 0.0087
2.0 260.72 0.0094
2.0 273.0 0.0103
2.0 286.5 0.0116
2.0 300.0 0.0131
2.25 52.47 0.0134
2.25 54.94 0.0175
2.25 57.66 0.0218
2.25 60.38 0.0253
2.25 63.36 0.0277
2.25 66.35 0.0285
2.25 69.63 0.0277
2.25 72.91 0.026
2.25 76.52 0.0236
2.25 80.12 0.0214
2.25 84.08 0.0195
2.25 88.04 0.0181
2.25 92.4 0.0171
2.25 96.75 0.0164
2.25 101.54 0.0159
2.25 106.32 0.0157
2.25 111.58 0.0157
2.25 116.83 0.016
2.25 122.61 0.0164
2.25 128.39 0.0171
2.25 134.74 0.0179
2.25 141.08 0.0187
2.25 148.06 0.0195
2.25 155.04 0.0202
2.25 162.7 0.0208
2.25 170.37 0.0213
2.25 178.79 0.0218
2.25 187.22 0.0222
2.25 196.47 0.0224
2.25 205.73 0.0225
2.25 215.9 0.0224
2.25 226.08 0.0221
2.25 237.26 0.0216
2.25 248.43 0.021
2.25 260.72 0.0204
2.25 273.0 0.0199
2.25 286.5 0.0196
2.25 300.0 0.0193
2.5 52.47 0.0069
2.5 54.94 0.0081
2.5 57.66 0.0094
2.5 60.38 0.0107
2.5 63.36 0.012
2.5 66.35 0.0132
2.5 69.63 0.0143
2.5 72.91 0.0151
2.5 76.52 0.0156
2.5 80.12 0.0159
2.5 84.08 0.0159
2.5 88.04 0.0158
2.5 92.4 0.0154
