Epsilon(kCal/mol) T(Kelvin) dCv(kCal/mol*Kelvin)
1.75 10.44 0.0407
1.75 10.88 0.0331
1.75 11.37 0.0258
1.75 11.85 0.02
1.75 12.37 0.0153
1.75 12.89 0.0119
1.75 13.46 0.0094
1.75 14.03 0.0078
1.75 14.65 0.0066
1.75 15.27 0.0058
1.75 15.95 0.0053
1.75 16.62 0.0051
1.75 17.36 0.005
1.75 18.09 0.0051
1.75 18.89 0.0052
1.75 19.69 0.0055
1.75 20.56 0.0059
1.75 21.43 0.0063
1.75 22.38 0.0068
1.75 23.33 0.0073
1.75 24.36 0.0079
1.75 25.39 0.0084
1.75 26.51 0.009
1.75 27.63 0.0095
1.75 28.86 0.01
1.75 30.08 0.0103
1.75 31.41 0.0105
1.75 32.74 0.0106
1.75 34.18 0.0106
1.75 35.63 0.0104
1.75 37.21 0.0101
1.75 38.78 0.0097
1.75 40.49 0.0093
1.75 42.21 0.0088
1.75 44.07 0.0084
1.75 45.94 0.008
1.75 47.97 0.0076
1.75 50.0 0.0073
1.75 52.21 0.0071
1.75 54.42 0.0069
1.75 10.44 0.0407
1.75 10.88 0.0331
1.75 11.37 0.0258
1.75 11.85 0.02
1.75 12.37 0.0153
1.75 12.89 0.0119
1.75 13.46 0.0094
1.75 14.03 0.0078
1.75 14.65 0.0066
1.75 15.27 0.0058
1.75 15.95 0.0053
1.75 16.62 0.0051
1.75 17.36 0.005
1.75 18.09 0.0051
1.75 18.89 0.0052
1.75 19.69 0.0055
1.75 20.56 0.0059
1.75 21.43 0.0063
1.75 22.38 0.0068
1.75 23.33 0.0073
1.75 24.36 0.0079
1.75 25.39 0.0084
1.75 26.51 0.009
1.75 27.63 0.0095
1.75 28.86 0.01
1.75 30.08 0.0103
1.75 31.41 0.0105
1.75 32.74 0.0106
1.75 34.18 0.0106
1.75 35.63 0.0104
1.75 37.21 0.0101
1.75 38.78 0.0097
1.75 40.49 0.0093
1.75 42.21 0.0088
1.75 44.07 0.0084
1.75 45.94 0.008
1.75 47.97 0.0076
1.75 50.0 0.0073
1.75 52.21 0.0071
1.75 54.42 0.0069
