Epsilon(kCal/mol) T(Kelvin) Cv(kCal/mol*Kelvin)
2.75 15.08 1.6709
2.75 15.16 1.7725
2.75 15.24 1.8632
2.75 15.32 1.9389
2.75 15.4 1.9977
2.75 15.48 2.0368
2.75 15.56 2.0555
2.75 15.64 2.0531
2.75 15.72 2.0303
2.75 15.8 1.9888
2.75 15.89 1.9305
2.75 15.97 1.8588
2.75 16.05 1.7761
2.75 16.14 1.6864
2.75 16.22 1.5918
2.75 16.3 1.4961
2.75 16.39 1.4006
2.75 16.48 1.3084
2.75 16.56 1.2198
2.75 16.65 1.1369
2.75 16.74 1.0595
2.75 16.82 0.9888
2.75 16.91 0.924
2.75 17.0 0.8657
2.75 17.09 0.8132
2.75 17.18 0.7665
2.75 17.27 0.7247
2.75 17.36 0.688
2.75 17.45 0.6553
2.75 17.54 0.6267
2.75 17.63 0.6014
2.75 17.72 0.5792
2.75 17.82 0.5597
2.75 17.91 0.5425
2.75 18.0 0.5274
2.75 18.1 0.5141
2.75 18.19 0.5023
2.75 18.29 0.4919
2.75 18.38 0.4826
2.75 18.48 0.4743
2.75 18.57 0.467
2.75 18.67 0.4603
2.75 18.77 0.4544
2.75 18.87 0.449
2.75 18.97 0.444
2.75 19.06 0.4395
2.75 19.16 0.4354
2.75 19.26 0.4316
2.75 19.37 0.4281
2.75 19.47 0.4248
2.75 19.57 0.4217
2.75 19.67 0.4188
2.75 19.77 0.4161
2.75 19.88 0.4136
2.75 19.98 0.4112
2.75 20.08 0.4089
2.75 20.19 0.4068
2.75 20.3 0.4047
2.75 20.4 0.4028
2.75 20.51 0.4011
2.75 20.62 0.3994
2.75 20.72 0.3978
2.75 20.83 0.3964
2.75 20.94 0.395
2.75 21.05 0.3938
2.75 21.16 0.3927
2.75 21.27 0.3917
2.75 21.38 0.3908
2.75 21.49 0.3901
2.75 21.61 0.3895
2.75 21.72 0.389
2.75 21.83 0.3886
2.75 21.95 0.3884
2.75 22.06 0.3883
