Epsilon(kCal/mol) T(Kelvin) Cv(kCal/mol*Kelvin)
2.75 10.07 1.77
2.75 10.14 1.766
2.75 10.21 1.7384
2.75 10.29 1.689
2.75 10.36 1.6201
2.75 10.43 1.5363
2.75 10.51 1.4407
2.75 10.58 1.3389
2.75 10.66 1.2337
2.75 10.73 1.1298
2.75 10.81 1.0288
2.75 10.89 0.934
2.75 10.96 0.8456
2.75 11.04 0.7656
2.75 11.12 0.6931
2.75 11.2 0.6292
2.75 11.28 0.5727
2.75 11.36 0.5238
2.75 11.44 0.4814
2.75 11.52 0.4455
2.75 11.6 0.4149
2.75 11.68 0.3895
2.75 11.77 0.3684
2.75 11.85 0.3514
2.75 11.93 0.3378
2.75 12.02 0.3274
2.75 12.1 0.3197
2.75 12.19 0.3144
2.75 12.28 0.3113
2.75 12.36 0.3101
2.75 12.45 0.3105
2.75 12.54 0.3125
2.75 12.63 0.3157
2.75 12.72 0.3201
2.75 12.81 0.3255
2.75 12.9 0.3317
2.75 12.99 0.3386
2.75 13.08 0.3461
2.75 13.18 0.3541
2.75 13.27 0.3623
2.75 13.36 0.3709
2.75 13.46 0.3795
2.75 13.55 0.3881
2.75 13.65 0.3966
2.75 13.75 0.405
2.75 13.85 0.4129
2.75 13.94 0.4206
2.75 14.04 0.4278
2.75 14.14 0.4345
2.75 14.24 0.4405
2.75 14.34 0.446
2.75 14.45 0.4509
2.75 14.55 0.4551
2.75 14.65 0.4587
2.75 14.76 0.4616
2.75 14.86 0.464
2.75 14.97 0.4658
2.75 15.07 0.4672
2.75 15.18 0.4682
2.75 15.29 0.469
2.75 15.4 0.4695
2.75 15.5 0.47
2.75 15.61 0.4706
2.75 15.73 0.4713
2.75 15.84 0.4723
2.75 15.95 0.4737
2.75 16.06 0.4758
2.75 16.18 0.4784
2.75 16.29 0.4819
2.75 16.41 0.4862
2.75 16.52 0.4916
2.75 16.64 0.498
2.75 16.76 0.5056
2.75 16.88 0.5144
2.75 17.0 0.5244
2.75 17.12 0.5355
2.75 17.24 0.5479
2.75 17.36 0.5613
2.75 17.49 0.5759
2.75 17.61 0.5912
2.75 17.73 0.6074
2.75 17.86 0.6239
2.75 17.99 0.6409
2.75 18.11 0.6577
2.75 18.24 0.6743
2.75 18.37 0.6901
2.75 18.5 0.7051
2.75 18.63 0.7185
2.75 18.77 0.7304
2.75 18.9 0.7401
2.75 19.03 0.7475
2.75 19.17 0.7523
2.75 19.31 0.7543
2.75 19.44 0.7535
2.75 19.58 0.7496
2.75 19.72 0.7427
2.75 19.86 0.733
2.75 20.0 0.7205
2.77 10.07 0.526
2.77 10.14 0.5045
2.77 10.21 0.4852
2.77 10.29 0.4686
2.77 10.36 0.4548
2.77 10.43 0.4441
2.77 10.51 0.4367
2.77 10.58 0.4327
2.77 10.66 0.4322
2.77 10.73 0.4354
2.77 10.81 0.4425
2.77 10.89 0.4533
2.77 10.96 0.4683
2.77 11.04 0.4872
2.77 11.12 0.5104
2.77 11.2 0.5376
2.77 11.28 0.5692
2.77 11.36 0.6046
2.77 11.44 0.6443
2.77 11.52 0.6874
2.77 11.6 0.7342
2.77 11.68 0.7835
2.77 11.77 0.8354
2.77 11.85 0.8883
2.77 11.93 0.9421
2.77 12.02 0.9948
2.77 12.1 1.0462
2.77 12.19 1.094
2.77 12.28 1.1379
2.77 12.36 1.176
2.77 12.45 1.2077
2.77 12.54 1.2317
2.77 12.63 1.2479
2.77 12.72 1.2557
2.77 12.81 1.2553
2.77 12.9 1.2471
2.77 12.99 1.2316
2.77 13.08 1.2098
2.77 13.18 1.1825
2.77 13.27 1.1511
2.77 13.36 1.1163
2.77 13.46 1.0796
2.77 13.55 1.0415
2.77 13.65 1.0033
2.77 13.75 0.9654
2.77 13.85 0.9286
2.77 13.94 0.893
2.77 14.04 0.8593
2.77 14.14 0.8274
2.77 14.24 0.7977
2.77 14.34 0.7698
2.77 14.45 0.7442
2.77 14.55 0.7203
2.77 14.65 0.6986
2.77 14.76 0.6784
2.77 14.86 0.66
2.77 14.97 0.643
2.77 15.07 0.6275
2.77 15.18 0.6131
2.77 15.29 0.6
2.77 15.4 0.5879
2.77 15.5 0.5767
2.77 15.61 0.5663
