Epsilon(kCal/mol) T(Kelvin) dCv(kCal/mol*Kelvin)
2.75 15.08 0.1987
2.75 15.16 0.2151
2.75 15.24 0.2296
2.75 15.32 0.2415
2.75 15.4 0.2502
2.75 15.48 0.2552
2.75 15.56 0.2563
2.75 15.64 0.2534
2.75 15.72 0.2467
2.75 15.8 0.2369
2.75 15.89 0.2244
2.75 15.97 0.21
2.75 16.05 0.1944
2.75 16.14 0.1783
2.75 16.22 0.1623
2.75 16.3 0.1469
2.75 16.39 0.1324
2.75 16.48 0.1192
2.75 16.56 0.1072
2.75 16.65 0.0966
2.75 16.74 0.0873
2.75 16.82 0.0792
2.75 16.91 0.0722
2.75 17.0 0.0662
2.75 17.09 0.061
2.75 17.18 0.0566
2.75 17.27 0.0528
2.75 17.36 0.0496
2.75 17.45 0.0468
2.75 17.54 0.0444
2.75 17.63 0.0422
2.75 17.72 0.0404
2.75 17.82 0.0388
2.75 17.91 0.0374
2.75 18.0 0.0361
2.75 18.1 0.035
2.75 18.19 0.034
2.75 18.29 0.0331
2.75 18.38 0.0323
2.75 18.48 0.0316
2.75 18.57 0.031
2.75 18.67 0.0304
2.75 18.77 0.0298
2.75 18.87 0.0293
2.75 18.97 0.0289
2.75 19.06 0.0285
2.75 19.16 0.0281
2.75 19.26 0.0278
2.75 19.37 0.0275
2.75 19.47 0.0272
2.75 19.57 0.0269
2.75 19.67 0.0267
2.75 19.77 0.0265
2.75 19.88 0.0263
2.75 19.98 0.0261
2.75 20.08 0.0259
2.75 20.19 0.0258
2.75 20.3 0.0256
2.75 20.4 0.0255
2.75 20.51 0.0254
2.75 20.62 0.0253
2.75 20.72 0.0253
2.75 20.83 0.0252
2.75 20.94 0.0252
2.75 21.05 0.0252
2.75 21.16 0.0252
2.75 21.27 0.0252
2.75 21.38 0.0253
2.75 21.49 0.0254
2.75 21.61 0.0255
2.75 21.72 0.0256
2.75 21.83 0.0258
2.75 21.95 0.026
2.75 22.06 0.0262
2.75 22.18 0.0265
