Epsilon(kCal/mol) T(Kelvin) dCv(kCal/mol*Kelvin)
2.75 10.07 0.4081
2.75 10.14 0.3944
2.75 10.21 0.3755
2.75 10.29 0.3524
2.75 10.36 0.326
2.75 10.43 0.2978
2.75 10.51 0.2684
2.75 10.58 0.2396
2.75 10.66 0.2117
2.75 10.73 0.1858
2.75 10.81 0.162
2.75 10.89 0.1409
2.75 10.96 0.1221
2.75 11.04 0.1059
2.75 11.12 0.092
2.75 11.2 0.0802
2.75 11.28 0.0702
2.75 11.36 0.062
2.75 11.44 0.0551
2.75 11.52 0.0495
2.75 11.6 0.045
2.75 11.68 0.0413
2.75 11.77 0.0385
2.75 11.85 0.0363
2.75 11.93 0.0346
2.75 12.02 0.0335
2.75 12.1 0.0327
2.75 12.19 0.0323
2.75 12.28 0.0323
2.75 12.36 0.0325
2.75 12.45 0.0329
2.75 12.54 0.0335
2.75 12.63 0.0343
2.75 12.72 0.0353
2.75 12.81 0.0364
2.75 12.9 0.0377
2.75 12.99 0.039
2.75 13.08 0.0404
2.75 13.18 0.0419
2.75 13.27 0.0434
2.75 13.36 0.0449
2.75 13.46 0.0464
2.75 13.55 0.048
2.75 13.65 0.0495
2.75 13.75 0.0509
2.75 13.85 0.0523
2.75 13.94 0.0536
2.75 14.04 0.0548
2.75 14.14 0.0559
2.75 14.24 0.0568
2.75 14.34 0.0577
2.75 14.45 0.0584
2.75 14.55 0.059
2.75 14.65 0.0594
2.75 14.76 0.0597
2.75 14.86 0.0599
2.75 14.97 0.06
2.75 15.07 0.06
2.75 15.18 0.0599
2.75 15.29 0.0597
2.75 15.4 0.0595
2.75 15.5 0.0592
2.75 15.61 0.059
2.75 15.73 0.0587
2.75 15.84 0.0585
2.75 15.95 0.0584
2.75 16.06 0.0583
2.75 16.18 0.0584
2.75 16.29 0.0586
2.75 16.41 0.059
2.75 16.52 0.0595
2.75 16.64 0.0603
2.75 16.76 0.0613
2.75 16.88 0.0626
2.75 17.0 0.0642
2.75 17.12 0.0662
2.75 17.24 0.0684
2.75 17.36 0.071
2.75 17.49 0.074
2.75 17.61 0.0774
2.75 17.73 0.0811
2.75 17.86 0.0851
2.75 17.99 0.0895
2.75 18.11 0.0941
2.75 18.24 0.099
2.75 18.37 0.104
2.75 18.5 0.1092
2.75 18.63 0.1145
2.75 18.77 0.1197
2.75 18.9 0.1249
2.75 19.03 0.1299
2.75 19.17 0.1346
2.75 19.31 0.1391
2.75 19.44 0.1431
2.75 19.58 0.1467
2.75 19.72 0.1499
2.75 19.86 0.1525
2.75 20.0 0.1545
2.77 10.07 0.1281
2.77 10.14 0.1159
2.77 10.21 0.1048
2.77 10.29 0.0952
2.77 10.36 0.0866
2.77 10.43 0.0793
2.77 10.51 0.073
2.77 10.58 0.0678
2.77 10.66 0.0636
2.77 10.73 0.0603
2.77 10.81 0.058
2.77 10.89 0.0566
2.77 10.96 0.056
2.77 11.04 0.0564
2.77 11.12 0.0576
2.77 11.2 0.0598
2.77 11.28 0.0628
2.77 11.36 0.0666
2.77 11.44 0.0713
2.77 11.52 0.0766
2.77 11.6 0.0827
2.77 11.68 0.0893
2.77 11.77 0.0964
2.77 11.85 0.1037
2.77 11.93 0.1111
2.77 12.02 0.1184
2.77 12.1 0.1253
2.77 12.19 0.1316
2.77 12.28 0.1371
2.77 12.36 0.1414
2.77 12.45 0.1446
2.77 12.54 0.1465
2.77 12.63 0.147
2.77 12.72 0.1462
2.77 12.81 0.1441
2.77 12.9 0.1409
2.77 12.99 0.1369
2.77 13.08 0.1321
2.77 13.18 0.1269
2.77 13.27 0.1215
2.77 13.36 0.1159
2.77 13.46 0.1105
2.77 13.55 0.1053
2.77 13.65 0.1004
2.77 13.75 0.0958
2.77 13.85 0.0915
2.77 13.94 0.0877
2.77 14.04 0.0842
2.77 14.14 0.0811
2.77 14.24 0.0783
2.77 14.34 0.0758
2.77 14.45 0.0735
2.77 14.55 0.0716
2.77 14.65 0.0698
2.77 14.76 0.0682
2.77 14.86 0.0668
2.77 14.97 0.0656
2.77 15.07 0.0645
2.77 15.18 0.0635
2.77 15.29 0.0627
2.77 15.4 0.0619
2.77 15.5 0.0612
2.77 15.61 0.0606
2.77 15.73 0.06
2.77 15.84 0.0595
2.77 15.95 0.0591
2.77 16.06 0.0587
2.77 16.18 0.0583
2.77 16.29 0.058
2.77 16.41 0.0577
2.77 16.52 0.0575
2.77 16.64 0.0572
2.77 16.76 0.0571
2.77 16.88 0.0569
2.77 17.0 0.0568
2.77 17.12 0.0568
2.77 17.24 0.0568
2.77 17.36 0.0568
2.77 17.49 0.0569
2.77 17.61 0.0571
2.77 17.73 0.0573
2.77 17.86 0.0575
2.77 17.99 0.0578
2.77 18.11 0.0582
2.77 18.24 0.0587
2.77 18.37 0.0592
2.77 18.5 0.0597
2.77 18.63 0.0604
2.77 18.77 0.0611
2.77 18.9 0.0618
2.77 19.03 0.0625
2.77 19.17 0.0633
2.77 19.31 0.0642
2.77 19.44 0.065
2.77 19.58 0.0658
2.77 19.72 0.0666
2.77 19.86 0.0674
2.77 20.0 0.0682
2.79 10.07 0.0493
2.79 10.14 0.0478
2.79 10.21 0.0463
2.79 10.29 0.0449
2.79 10.36 0.0435
2.79 10.43 0.0421
2.79 10.51 0.0408
2.79 10.58 0.0396
2.79 10.66 0.0384
2.79 10.73 0.0373
2.79 10.81 0.0363
2.79 10.89 0.0354
2.79 10.96 0.0346
2.79 11.04 0.0339
2.79 11.12 0.0333
2.79 11.2 0.0328
2.79 11.28 0.0324
2.79 11.36 0.0321
2.79 11.44 0.0319
2.79 11.52 0.0319
2.79 11.6 0.032
2.79 11.68 0.0322
2.79 11.77 0.0325
2.79 11.85 0.0329
2.79 11.93 0.0334
2.79 12.02 0.0341
2.79 12.1 0.0348
2.79 12.19 0.0356
2.79 12.28 0.0366
2.79 12.36 0.0375
2.79 12.45 0.0386
2.79 12.54 0.0397
2.79 12.63 0.0409
2.79 12.72 0.0421
2.79 12.81 0.0433
2.79 12.9 0.0445
2.79 12.99 0.0458
2.79 13.08 0.047
2.79 13.18 0.0482
2.79 13.27 0.0494
2.79 13.36 0.0506
2.79 13.46 0.0517
2.79 13.55 0.0528
2.79 13.65 0.0538
2.79 13.75 0.0547
2.79 13.85 0.0556
