Epsilon(kCal/mol) T(Kelvin) Cv(kCal/mol*Kelvin)
0.5 1.03 0.2579
0.5 1.06 0.2435
0.5 1.1 0.2282
0.5 1.13 0.214
0.5 1.17 0.201
0.5 1.2 0.1904
0.5 1.24 0.1813
0.5 1.28 0.1742
0.5 1.32 0.168
0.5 1.36 0.1628
0.5 1.4 0.1577
0.5 1.44 0.1527
0.5 1.49 0.1472
0.5 1.53 0.1413
0.5 1.58 0.1348
0.5 1.63 0.128
0.5 1.68 0.1207
0.5 1.73 0.1136
0.5 1.79 0.1062
0.5 1.84 0.0993
0.5 1.9 0.0925
0.5 1.96 0.0862
0.5 2.02 0.0802
0.5 2.08 0.0748
0.5 2.15 0.0697
0.5 2.21 0.0652
0.5 2.28 0.0608
0.5 2.35 0.0569
0.5 2.43 0.0532
0.5 2.5 0.0499
0.5 2.58 0.0467
0.5 2.66 0.0438
0.5 2.74 0.041
0.5 2.83 0.0384
0.5 2.92 0.036
0.5 3.01 0.0338
0.5 3.1 0.0316
0.5 3.2 0.0297
0.5 3.3 0.0278
0.5 3.4 0.0261
0.5 3.5 0.0245
0.5 3.61 0.0231
0.5 3.72 0.0217
0.5 3.84 0.0205
0.5 3.96 0.0193
0.5 4.08 0.0183
0.5 4.21 0.0173
0.5 4.34 0.0165
0.5 4.47 0.0157
0.5 4.61 0.015
0.5 4.76 0.0143
0.5 4.9 0.0137
0.5 5.06 0.0132
0.5 5.21 0.0127
0.5 5.37 0.0122
0.5 5.54 0.0119
0.5 5.71 0.0115
0.5 5.89 0.0112
0.5 6.07 0.0109
0.5 6.26 0.0107
0.5 6.46 0.0105
0.5 6.65 0.0103
0.5 6.86 0.0101
0.5 7.07 0.0099
0.5 7.3 0.0098
0.5 7.52 0.0097
0.5 7.76 0.0096
0.5 7.99 0.0095
0.5 8.25 0.0094
0.5 8.5 0.0094
0.5 8.77 0.0093
0.5 9.03 0.0093
0.5 9.32 0.0092
0.5 9.6 0.0091
0.5 9.91 0.0091
0.5 10.21 0.009
0.5 10.53 0.0089
0.5 10.85 0.0089
0.5 11.19 0.0088
0.5 11.54 0.0087
0.5 11.9 0.0086
0.5 12.26 0.0085
0.5 12.65 0.0083
0.5 13.04 0.0082
0.5 13.45 0.0081
0.5 13.86 0.0079
0.5 14.3 0.0078
0.5 14.73 0.0076
0.5 15.2 0.0074
0.5 15.66 0.0072
0.5 16.15 0.0071
0.5 16.65 0.0069
0.5 17.17 0.0067
0.5 17.7 0.0065
0.5 18.26 0.0063
0.5 18.81 0.006
0.5 19.41 0.0058
0.5 20.0 0.0056
0.5 20.63 0.0054
0.5 21.26 0.0052
0.75 1.03 0.4568
0.75 1.06 0.4459
0.75 1.1 0.4241
0.75 1.13 0.4003
0.75 1.17 0.3786
0.75 1.2 0.3626
0.75 1.24 0.3511
0.75 1.28 0.3431
0.75 1.32 0.336
0.75 1.36 0.3283
0.75 1.4 0.3181
0.75 1.44 0.3053
0.75 1.49 0.2893
0.75 1.53 0.2716
0.75 1.58 0.252
0.75 1.63 0.2326
0.75 1.68 0.2132
0.75 1.73 0.1954
0.75 1.79 0.1787
0.75 1.84 0.1642
0.75 1.9 0.1512
0.75 1.96 0.1405
0.75 2.02 0.1313
0.75 2.08 0.124
0.75 2.15 0.1181
0.75 2.21 0.1138
0.75 2.28 0.1106
0.75 2.35 0.1085
0.75 2.43 0.1072
0.75 2.5 0.1064
0.75 2.58 0.106
0.75 2.66 0.1057
0.75 2.74 0.1053
0.75 2.83 0.1047
0.75 2.92 0.1036
0.75 3.01 0.1019
0.75 3.1 0.0995
0.75 3.2 0.0965
0.75 3.3 0.0928
0.75 3.4 0.0886
0.75 3.5 0.0838
0.75 3.61 0.0789
0.75 3.72 0.0736
0.75 3.84 0.0684
0.75 3.96 0.063
0.75 4.08 0.058
0.75 4.21 0.053
0.75 4.34 0.0485
