Epsilon(kCal/mol) T(Kelvin) dCv(kCal/mol*Kelvin)
0.5 1.03 0.0898
0.5 1.06 0.0759
0.5 1.1 0.0638
0.5 1.13 0.0544
0.5 1.17 0.0469
0.5 1.2 0.0415
0.5 1.24 0.0374
0.5 1.28 0.0346
0.5 1.32 0.0326
0.5 1.36 0.0312
0.5 1.4 0.03
0.5 1.44 0.0291
0.5 1.49 0.028
0.5 1.53 0.0269
0.5 1.58 0.0256
0.5 1.63 0.0241
0.5 1.68 0.0225
0.5 1.73 0.0209
0.5 1.79 0.0191
0.5 1.84 0.0175
0.5 1.9 0.0159
0.5 1.96 0.0145
0.5 2.02 0.0131
0.5 2.08 0.012
0.5 2.15 0.0109
0.5 2.21 0.01
0.5 2.28 0.0091
0.5 2.35 0.0084
0.5 2.43 0.0078
0.5 2.5 0.0072
0.5 2.58 0.0067
0.5 2.66 0.0062
0.5 2.74 0.0057
0.5 2.83 0.0053
0.5 2.92 0.005
0.5 3.01 0.0046
0.5 3.1 0.0043
0.5 3.2 0.004
0.5 3.3 0.0037
0.5 3.4 0.0034
0.5 3.5 0.0032
0.5 3.61 0.0029
0.5 3.72 0.0027
0.5 3.84 0.0025
0.5 3.96 0.0023
0.5 4.08 0.0022
0.5 4.21 0.002
0.5 4.34 0.0019
0.5 4.47 0.0018
0.5 4.61 0.0017
0.5 4.76 0.0016
0.5 4.9 0.0015
0.5 5.06 0.0014
0.5 5.21 0.0014
0.5 5.37 0.0013
0.5 5.54 0.0012
0.5 5.71 0.0012
0.5 5.89 0.0012
0.5 6.07 0.0011
0.5 6.26 0.0011
0.5 6.46 0.0011
0.5 6.65 0.001
0.5 6.86 0.001
0.5 7.07 0.001
0.5 7.3 0.001
0.5 7.52 0.001
0.5 7.76 0.001
0.5 7.99 0.001
0.5 8.25 0.001
0.5 8.5 0.001
0.5 8.77 0.001
0.5 9.03 0.001
0.5 9.32 0.001
0.5 9.6 0.001
0.5 9.91 0.001
0.5 10.21 0.001
0.5 10.53 0.001
0.5 10.85 0.0011
0.5 11.19 0.0011
0.5 11.54 0.0011
0.5 11.9 0.0011
0.5 12.26 0.0011
0.5 12.65 0.0011
0.5 13.04 0.0011
0.5 13.45 0.0011
0.5 13.86 0.0011
0.5 14.3 0.0011
0.5 14.73 0.0011
0.5 15.2 0.0011
0.5 15.66 0.0011
0.5 16.15 0.0011
0.5 16.65 0.0011
0.5 17.17 0.0011
0.5 17.7 0.0011
0.5 18.26 0.0011
0.5 18.81 0.0011
0.5 19.41 0.0011
0.5 20.0 0.0011
0.5 20.63 0.001
0.5 21.26 0.001
0.75 1.03 0.1934
0.75 1.06 0.1718
0.75 1.1 0.146
0.75 1.13 0.1242
0.75 1.17 0.1082
0.75 1.2 0.0987
0.75 1.24 0.0931
0.75 1.28 0.09
0.75 1.32 0.0876
0.75 1.36 0.0852
0.75 1.4 0.082
0.75 1.44 0.0778
0.75 1.49 0.0724
0.75 1.53 0.0663
0.75 1.58 0.0597
0.75 1.63 0.0533
0.75 1.68 0.0471
0.75 1.73 0.0417
0.75 1.79 0.0368
0.75 1.84 0.0327
0.75 1.9 0.0292
0.75 1.96 0.0264
0.75 2.02 0.024
0.75 2.08 0.0221
0.75 2.15 0.0206
0.75 2.21 0.0195
0.75 2.28 0.0187
0.75 2.35 0.0182
0.75 2.43 0.018
0.75 2.5 0.0179
0.75 2.58 0.018
0.75 2.66 0.0181
0.75 2.74 0.0183
0.75 2.83 0.0184
0.75 2.92 0.0183
0.75 3.01 0.0181
0.75 3.1 0.0177
0.75 3.2 0.0172
0.75 3.3 0.0165
0.75 3.4 0.0156
0.75 3.5 0.0146
0.75 3.61 0.0136
0.75 3.72 0.0125
0.75 3.84 0.0115
0.75 3.96 0.0104
0.75 4.08 0.0094
0.75 4.21 0.0085
0.75 4.34 0.0076
0.75 4.47 0.0068
0.75 4.61 0.0061
0.75 4.76 0.0054
0.75 4.9 0.0048
0.75 5.06 0.0043
0.75 5.21 0.0038
0.75 5.37 0.0034
0.75 5.54 0.0031
0.75 5.71 0.0028
0.75 5.89 0.0025
0.75 6.07 0.0023
0.75 6.26 0.0021
0.75 6.46 0.0019
0.75 6.65 0.0017
0.75 6.86 0.0016
0.75 7.07 0.0015
0.75 7.3 0.0014
0.75 7.52 0.0013
0.75 7.76 0.0012
0.75 7.99 0.0012
0.75 8.25 0.0011
0.75 8.5 0.0011
0.75 8.77 0.0011
0.75 9.03 0.001
0.75 9.32 0.001
0.75 9.6 0.001
0.75 9.91 0.001
0.75 10.21 0.001
0.75 10.53 0.001
0.75 10.85 0.001
0.75 11.19 0.001
0.75 11.54 0.001
0.75 11.9 0.001
0.75 12.26 0.0011
0.75 12.65 0.0011
0.75 13.04 0.0011
0.75 13.45 0.0012
0.75 13.86 0.0012
0.75 14.3 0.0013
0.75 14.73 0.0013
0.75 15.2 0.0014
0.75 15.66 0.0015
0.75 16.15 0.0015
0.75 16.65 0.0016
0.75 17.17 0.0017
0.75 17.7 0.0018
0.75 18.26 0.002
0.75 18.81 0.0021
0.75 19.41 0.0022
0.75 20.0 0.0024
0.75 20.63 0.0025
0.75 21.26 0.0026
1.0 1.03 0.0761
1.0 1.06 0.0849
1.0 1.1 0.0924
1.0 1.13 0.0973
1.0 1.17 0.0989
1.0 1.2 0.0971
1.0 1.24 0.0919
1.0 1.28 0.0843
1.0 1.32 0.075
1.0 1.36 0.0656
1.0 1.4 0.0564
1.0 1.44 0.0487
1.0 1.49 0.0422
1.0 1.53 0.0376
1.0 1.58 0.0345
1.0 1.63 0.033
1.0 1.68 0.0327
1.0 1.73 0.0334
1.0 1.79 0.0349
1.0 1.84 0.0368
1.0 1.9 0.0388
1.0 1.96 0.0405
1.0 2.02 0.0417
1.0 2.08 0.0422
1.0 2.15 0.0418
1.0 2.21 0.0407
1.0 2.28 0.0388
1.0 2.35 0.0366
1.0 2.43 0.034
1.0 2.5 0.0314
1.0 2.58 0.0287
1.0 2.66 0.0263
1.0 2.74 0.0239
1.0 2.83 0.0219
1.0 2.92 0.0199
1.0 3.01 0.0183
1.0 3.1 0.0168
1.0 3.2 0.0155
1.0 3.3 0.0144
1.0 3.4 0.0134
1.0 3.5 0.0126
1.0 3.61 0.0119
1.0 3.72 0.0113
1.0 3.84 0.0109
1.0 3.96 0.0106
1.0 4.08 0.0104
1.0 4.21 0.0104
1.0 4.34 0.0104
1.0 4.47 0.0106
1.0 4.61 0.0109
1.0 4.76 0.0114
1.0 4.9 0.012
1.0 5.06 0.0127
1.0 5.21 0.0135
1.0 5.37 0.0145
1.0 5.54 0.0155
1.0 5.71 0.0166
1.0 5.89 0.0176
1.0 6.07 0.0184
1.0 6.26 0.019
1.0 6.46 0.0194
1.0 6.65 0.0193
1.0 6.86 0.019
1.0 7.07 0.0182
1.0 7.3 0.0172
1.0 7.52 0.0159
1.0 7.76 0.0145
1.0 7.99 0.013
1.0 8.25 0.0115
1.0 8.5 0.0102
1.0 8.77 0.0088
1.0 9.03 0.0076
1.0 9.32 0.0066
1.0 9.6 0.0057
1.0 9.91 0.0048
1.0 10.21 0.0042
1.0 10.53 0.0036
1.0 10.85 0.0031
1.0 11.19 0.0027
1.0 11.54 0.0024
1.0 11.9 0.0021
1.0 12.26 0.0019
1.0 12.65 0.0017
1.0 13.04 0.0015
1.0 13.45 0.0014
1.0 13.86 0.0014
1.0 14.3 0.0013
1.0 14.73 0.0013
1.0 15.2 0.0013
1.0 15.66 0.0013
1.0 16.15 0.0013
1.0 16.65 0.0014
1.0 17.17 0.0015
1.0 17.7 0.0015
1.0 18.26 0.0016
1.0 18.81 0.0017
1.0 19.41 0.0019
1.0 20.0 0.002
1.0 20.63 0.0021
1.0 21.26 0.0022
1.25 1.03 0.167
1.25 1.06 0.1879
1.25 1.1 0.1936
1.25 1.13 0.1818
1.25 1.17 0.1573
1.25 1.2 0.1306
1.25 1.24 0.1067
1.25 1.28 0.0897
1.25 1.32 0.0778
1.25 1.36 0.07
1.25 1.4 0.0644
1.25 1.44 0.0604
1.25 1.49 0.0573
1.25 1.53 0.0554
1.25 1.58 0.0546
1.25 1.63 0.0552
1.25 1.68 0.0573
1.25 1.73 0.0606
1.25 1.79 0.0649
1.25 1.84 0.0693
1.25 1.9 0.0732
1.25 1.96 0.0755
1.25 2.02 0.0758
1.25 2.08 0.0739
1.25 2.15 0.0699
1.25 2.21 0.0647
1.25 2.28 0.0587
1.25 2.35 0.0527
1.25 2.43 0.0468
1.25 2.5 0.0417
1.25 2.58 0.0371
1.25 2.66 0.0331
1.25 2.74 0.0297
1.25 2.83 0.0268
1.25 2.92 0.0243
1.25 3.01 0.0223
1.25 3.1 0.0206
1.25 3.2 0.0192
1.25 3.3 0.018
1.25 3.4 0.017
1.25 3.5 0.0163
1.25 3.61 0.0157
1.25 3.72 0.0153
1.25 3.84 0.0149
1.25 3.96 0.0148
1.25 4.08 0.0147
1.25 4.21 0.0147
1.25 4.34 0.0148
1.25 4.47 0.0151
1.25 4.61 0.0154
1.25 4.76 0.0159
1.25 4.9 0.0164
1.25 5.06 0.0171
1.25 5.21 0.0179
1.25 5.37 0.019
1.25 5.54 0.0202
1.25 5.71 0.0218
1.25 5.89 0.0235
1.25 6.07 0.0256
1.25 6.26 0.0279
1.25 6.46 0.0303
1.25 6.65 0.0325
1.25 6.86 0.0343
1.25 7.07 0.0354
1.25 7.3 0.0356
1.25 7.52 0.0348
1.25 7.76 0.0331
1.25 7.99 0.0306
1.25 8.25 0.0275
1.25 8.5 0.0242
1.25 8.77 0.0209
1.25 9.03 0.0178
1.25 9.32 0.0149
1.25 9.6 0.0124
1.25 9.91 0.0102
1.25 10.21 0.0085
1.25 10.53 0.007
1.25 10.85 0.0058
1.25 11.19 0.0048
1.25 11.54 0.004
1.25 11.9 0.0033
1.25 12.26 0.0028
1.25 12.65 0.0024
1.25 13.04 0.0021
1.25 13.45 0.0018
1.25 13.86 0.0016
1.25 14.3 0.0015
1.25 14.73 0.0013
1.25 15.2 0.0013
1.25 15.66 0.0012
1.25 16.15 0.0012
1.25 16.65 0.0011
1.25 17.17 0.0011
1.25 17.7 0.0011
1.25 18.26 0.0012
1.25 18.81 0.0012
1.25 19.41 0.0012
1.25 20.0 0.0012
1.25 20.63 0.0013
1.25 21.26 0.0013
1.5 1.03 1.6694
1.5 1.06 1.1546
1.5 1.1 0.5384
1.5 1.13 0.2657
1.5 1.17 0.1813
1.5 1.2 0.1621
1.5 1.24 0.162
1.5 1.28 0.1696
1.5 1.32 0.1806
1.5 1.36 0.1907
1.5 1.4 0.1957
1.5 1.44 0.1923
1.5 1.49 0.1806
1.5 1.53 0.1652
1.5 1.58 0.1506
1.5 1.63 0.1425
1.5 1.68 0.1443
1.5 1.73 0.1577
1.5 1.79 0.1822
1.5 1.84 0.2077
1.5 1.9 0.2207
1.5 1.96 0.2104
1.5 2.02 0.1802
1.5 2.08 0.1446
1.5 2.15 0.1119
1.5 2.21 0.0879
1.5 2.28 0.0702
1.5 2.35 0.0582
1.5 2.43 0.0498
1.5 2.5 0.0445
1.5 2.58 0.0412
1.5 2.66 0.0395
1.5 2.74 0.0389
1.5 2.83 0.0391
1.5 2.92 0.0396
1.5 3.01 0.0402
1.5 3.1 0.0404
1.5 3.2 0.0403
1.5 3.3 0.0396
1.5 3.4 0.0385
1.5 3.5 0.037
1.5 3.61 0.0354
1.5 3.72 0.0338
1.5 3.84 0.0324
1.5 3.96 0.0314
1.5 4.08 0.0308
1.5 4.21 0.0309
1.5 4.34 0.0317
1.5 4.47 0.0332
1.5 4.61 0.0354
1.5 4.76 0.0381
1.5 4.9 0.0409
1.5 5.06 0.0435
1.5 5.21 0.0452
1.5 5.37 0.0457
1.5 5.54 0.0447
1.5 5.71 0.0423
1.5 5.89 0.0388
1.5 6.07 0.0343
1.5 6.26 0.0298
1.5 6.46 0.0251
1.5 6.65 0.0209
1.5 6.86 0.0172
1.5 7.07 0.014
1.5 7.3 0.0114
1.5 7.52 0.0092
1.5 7.76 0.0075
1.5 7.99 0.0061
1.5 8.25 0.005
1.5 8.5 0.0042
1.5 8.77 0.0035
1.5 9.03 0.003
1.5 9.32 0.0026
1.5 9.6 0.0023
1.5 9.91 0.002
1.5 10.21 0.0019
1.5 10.53 0.0018
1.5 10.85 0.0017
1.5 11.19 0.0016
1.5 11.54 0.0016
1.5 11.9 0.0016
1.5 12.26 0.0017
1.5 12.65 0.0017
1.5 13.04 0.0018
1.5 13.45 0.0019
1.5 13.86 0.002
1.5 14.3 0.0022
1.5 14.73 0.0023
1.5 15.2 0.0025
1.5 15.66 0.0027
1.5 16.15 0.0029
1.5 16.65 0.0031
1.5 17.17 0.0034
1.5 17.7 0.0037
1.5 18.26 0.004
1.5 18.81 0.0044
1.5 19.41 0.0048
1.5 20.0 0.0052
1.5 20.63 0.0056
1.5 21.26 0.006
1.75 1.03 0.0835
1.75 1.06 0.0704
1.75 1.1 0.0604
1.75 1.13 0.0534
1.75 1.17 0.0479
1.75 1.2 0.0434
1.75 1.24 0.039
1.75 1.28 0.0349
1.75 1.32 0.031
1.75 1.36 0.0274
1.75 1.4 0.024
1.75 1.44 0.0212
1.75 1.49 0.0188
1.75 1.53 0.0167
1.75 1.58 0.015
1.75 1.63 0.0136
1.75 1.68 0.0124
1.75 1.73 0.0115
1.75 1.79 0.0106
1.75 1.84 0.01
1.75 1.9 0.0094
1.75 1.96 0.0089
1.75 2.02 0.0084
1.75 2.08 0.0081
1.75 2.15 0.0077
1.75 2.21 0.0075
1.75 2.28 0.0072
1.75 2.35 0.007
1.75 2.43 0.0068
1.75 2.5 0.0066
1.75 2.58 0.0065
1.75 2.66 0.0063
1.75 2.74 0.0062
1.75 2.83 0.0061
1.75 2.92 0.0059
1.75 3.01 0.0058
1.75 3.1 0.0057
1.75 3.2 0.0055
1.75 3.3 0.0054
