[(-1100.649813322671, 816.3058950440118, 1033.788861052478), (-1458.9012696407551, 10114.881337926208, -1934.5977792689837), (2917.1809036650084, -1366.1486839936242, 1836.0753071222039), (2973.1825585046486, -1592.9503933011547, 6576.03163584701), (-4499.447733081411, -4207.409840664524, -5903.16409815549), (-43700.02290187912, 67734.96068788451, -42029.99830526787), (44072.69915970278, -69672.78667877638, 47642.84416741913), (-65472.75860693649, -29172.85631434546, 25432.9376088668), (65809.64045124792, 33922.939725264485, -31847.580676943166), (57118.229940354664, 30428.50985751289, 112271.47610270722), (-61329.30514759664, -36017.26249855069, -110067.76884244935), (-29801.635384155637, 138355.6395288679, -50152.782448022146), (34083.83485302815, -138459.43548219555, 48256.52144892212), (-972139.3118315351, -290468.3739467081, 302577.38092468446), (972644.4369792151, 290941.6303359999, -301489.9655557803), (-117.14796666777545, -1357.6287899741549, -2201.210779017856)] kJ/(nm mol)
[(-1100.625634845302, 816.3385380668652, 1033.9295915787447), (-1458.7678513200517, 10114.168499571397, -1934.4210834624166), (2917.1733095390136, -1365.4358058565813, 1835.8822076191611), (2973.0707701099986, -1592.8794321495252, 6575.818007361052), (-4499.536746054058, -4207.52119122152, -5902.995499071407), (-43703.39045260824, 67739.90580137566, -42033.179175370366), (44076.24300492932, -69677.71640666867, 47645.743846565245), (-65470.7997625413, -29171.868110021085, 25432.48749260551), (65807.69616513685, 33922.10364872844, -31846.8930590136), (57125.87792371871, 30431.916682217165, 112285.22931458065), (-61336.88758267993, -36020.735847141565, -110081.67935502432), (-29798.91020070211, 138337.87024914793, -50147.3053102973), (34080.82487844273, -138441.74482459392, 48251.28665018663), (-971973.2065309433, -290418.4326991879, 302526.15745909885), (972478.4286768337, 290891.7208905055, -301438.83803462645), (-117.1810329950506, -1357.6944712267746, -2201.2291867631748)] kJ/(nm mol)
[(-1100.6014202053418, 816.3708145870197, 1034.0698854145573), (-1458.6349829406183, 10113.464093445593, -1934.2447555553363), (2917.1671177535136, -1364.7324388699572, 1835.689948437593), (2972.953031550316, -1592.8118793329327, 6575.59345704915), (-4499.61962412209, -4207.6299058517225, -5902.817645808893), (-43706.6568204861, 67744.67916704158, -42036.26582037823), (44079.689163614705, -69682.49717192205, 47648.53619254065), (-65468.66437881389, -29170.809370510444, 25431.963401586814), (65805.57200496687, 33921.20111729833, -31846.12938208166), (57133.35027310334, 30435.223443544448, 112298.65340994301), (-61344.30982973349, -36024.10693555244, -110095.26336692272), (-29795.91428900255, 138319.0691235578, -50141.43746690076), (34077.555866771334, -138422.9760303319, 48245.66727205184), (-971777.4141648818, -290359.70816460234, 302465.8054277891), (972282.795810793, 290833.0043832579, -301378.5498109591), (-117.2242155051772, -1357.7661322945205, -2201.2469882714477)] kJ/(nm mol)
[(-1100.5771404396403, 816.4027146266473, 1034.2096578430608), (-1458.5030060488084, 10112.762824658586, -1934.0694378569137), (2917.159774848699, -1364.0335872177848, 1835.4983675772955), (2972.8417816705855, -1592.7405182243897, 6575.380525485665), (-4499.70697554871, -4207.74232330934, -5902.649511438725), (-43709.9352369898, 67749.51522445733, -42039.371484235206), (44083.15088528748, -69687.30864657246, 47651.354022954605), (-65466.375913634365, -29169.68792319658, 25431.377048532428), (65803.2992882728, 33920.23607025372, -31845.30718512413), (57140.68995796316, 30438.430119507306, 112311.75617107734), (-61351.5915476273, -36027.38349915943, -110108.54430272066), (-29792.90929603725, 138300.157989217, -50135.55009646465), (34074.28377973151, -138404.12912472853, 48240.03447267185), (-971553.9972862133, -290292.7003489251, 302396.699781404), (972059.4758977473, 290766.07451857027, -301309.5383650165), (-117.27686201497204, -1357.8441096167082, -2201.264375382808)] kJ/(nm mol)
[(-1100.5528304646782, 816.4342609042997, 1034.349031589556), (-1458.3679401341508, 10112.041212352047, -1933.8901370719443), (2917.1494565059347, -1363.3143681033698, 1835.3032299919018), (2972.7218418970006, -1592.6737538509487, 6575.153349658385), (-4499.7856867287, -4207.850448364457, -5902.466682186556), (-43713.08119278595, 67754.10137613739, -42042.34393524), (44086.46409055799, -69691.86958355454, 47654.037228958405), (-65463.98125678404, -29168.5057770025, 25430.742100813088), (65800.92875905603, 33919.208514703685, -31844.434297630665), (57147.79932475759, 30441.528935277, 112324.44389053131), (-61358.662273186645, -36030.552003151715, -110121.38932701023), (-29789.77806361356, 138280.66813909195, -50129.43611295435), (34070.89524087064, -138384.70406806815, 48234.18887766143), (-971299.9558642191, -290216.1592922318, 302318.02807568543), (971805.5314295605, 290689.58753989945, -301230.99117805413), (-117.34050960833474, -1357.928541856932, -2201.2806793778764)] kJ/(nm mol)
[(-1100.5284780919972, 816.4655125558453, 1034.4880446016462), (-1458.2349418753815, 10111.335833058138, -1933.7139104570397), (2917.1409764727505, -1362.6129180949865, 1835.1108614446457), (2972.6039706355405, -1592.605543478211, 6574.926513459224), (-4499.8639000078265, -4207.959693016386, -5902.2853497606175), (-43716.083025072745, 67758.5001441264, -42045.20268560462), (44089.652225715276, -69696.25035852825, 47656.60528993045), (-65461.425683376954, -29167.26874734111, 25430.050763024265), (65798.40570751397, 33918.128230523726, -31843.50290040251), (57154.76432649804, 30444.539393341747, 112336.86495968561), (-61365.6001658704, -36033.63198235672, -110133.9937955634), (-29786.524527432925, 138260.66208850584, -50123.15800133756), (34067.39224624254, -138364.74775897557, 48228.185220535226), (-971015.6024034088, -290130.9911536491, 302229.72783262515), (971521.2749106995, 290604.48093921423, -301142.81445597264), (-117.41375534887402, -1358.019156021049, -2201.2966602862016)] kJ/(nm mol)
[(-1100.5040734045795, 816.4964235495925, 1034.626649238136), (-1458.1025669842343, 10110.635031292497, -1933.5380778839792), (2917.132485975097, -1361.9165453062196, 1834.9189789851353), (2972.489177398961, -1592.5356490869162, 6574.707832764607), (-4499.944543360609, -4208.070770174537, -5902.109938417836), (-43719.01105754325, 67762.7662097435, -42047.97505028881), (44092.75436269113, -69700.51351341078, 47659.08559521866), (-65458.888921047306, -29166.031512199166, 25429.357728836818), (65795.9098803048, 33917.04593826057, -31842.577476748993), (57161.64745774014, 30447.506459694436, 112349.11315323069), (-61372.47159312232, -36036.67609295185, -110146.42805315538), (-29783.11940042793, 138240.06168900896, -50116.62984030231), (34063.7454479625, -138344.2133196862, 48221.941522892594), (-970706.4368913174, -290038.57098500046, 302133.86152246123), (971212.2688300849, 290512.16092580504, -301047.0394781381), (-117.4950555975098, -1358.115400836064, -2201.31288287096)] kJ/(nm mol)
[(-1100.4794978821353, 816.527079051117, 1034.764882091708), (-1457.9690931488806, 10109.92846166352, -1933.3612454939127), (2917.122385507184, -1361.214905691474, 1834.726294576683), (2972.373034729622, -1592.4655168221811, 6574.487033241334), (-4500.023401180664, -4208.182323150768, -5901.934124350408), (-43721.78329427136, 67766.79799304041, -42050.614203612815), (44095.70800477564, -69704.53400855491, 47661.42737274042), (-65456.160045055876, -29164.719908759347, 25428.584836099373), (65793.21089381544, 33915.89325991217, -31841.56825614582), (57168.28855199611, 30450.32466900925, 112360.87601381131), (-61379.10084358457, -36039.567305855395, -110158.37184844672), (-29779.59780229514, 138218.9138551191, -50109.93361878206), (34059.98805215949, -138323.16325076742, 48215.5437889994), (-970365.5218524474, -289936.2112860526, 302027.8978134588), (970871.5757218157, 290409.87761383044, -300941.19746975007), (-117.58757915440833, -1358.2183686904145, -2201.327924565151)] kJ/(nm mol)
[(-1100.4548400244973, 816.5573646094882, 1034.9026535980659), (-1457.8341410637192, 10109.20786468693, -1933.182718796057), (2917.1096666517215, -1360.5017040774164, 1834.5308580832927), (2972.2548388304895, -1592.3967648635535, 6574.26219875081), (-4500.098797206683, -4208.292052835755, -5901.752006214755), (-43724.551959811484, 67770.81429126461, -42053.245069911056), (44098.661483413394, -69708.54624604994, 47663.767372670656), (-65453.196006346094, -29163.287047139278, 25427.72234330266), (65790.2852093566, 33914.61749548496, -31840.465404313956), (57174.6875893239, 30453.009653368652, 112372.12225663502), (-61385.49177697189, -36042.32686567255, -110169.82508820128), (-29775.95782851935, 138197.28101065228, -50103.01078027097), (34056.12196749059, -138301.59755309482, 48208.92553355339), (-969994.794742475, -289825.349598865, 301912.7430074014), (970501.0080587327, 290299.1622100192, -300826.16344391095), (-117.68851210643186, -1358.3268957445907, -2201.3431869856922)] kJ/(nm mol)
[(-1100.4300401573698, 816.5873485110177, 1035.0400021889384), (-1457.6984639847549, 10108.484555555982, -1933.0026481302066), (2917.0962383799206, -1359.7862404302505, 1834.335209873565), (2972.1343765010133, -1592.3287140937382, 6574.031887780833), (-4500.171085527962, -4208.401647598814, -5901.567072442975), (-43727.20780326762, 67774.66667617986, -42055.76610791379), (44101.49765120883, -69712.37826892117, 47665.99616943883), (-65450.305413297705, -29161.90086776834, 25426.875722104105), (65787.4414458279, 33913.390533869715, -31839.388077196276), (57180.93835150856, 30455.606294627923, 112383.12533541079), (-61391.75779402303, -36045.00174485431, -110181.0065215282), (-29772.250211539194, 138175.38193392166, -50096.0370999944), (34052.194187331595, -138279.76623568236, 48202.2625581582), (-969594.0681206363, -289705.3921312661, 301788.08459734067), (970100.3783678438, 290179.29594334244, -300701.6248968332), (-117.80062972542089, -1358.4421956778904, -2201.357334013696)] kJ/(nm mol)
