#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
20,-128.03976780060214,14.67876302300772,-113.36100477759442,72.05907370388256
40,-128.12724634975976,27.81720903264858,-100.31003731711118,136.55662352325433
60,-127.71542753868087,35.73284187867162,-91.98258566000925,175.4150184554707
80,-126.56072713111963,43.97511205539941,-82.58561507572023,215.87689887558545
100,-124.57076087091612,51.07296423899829,-73.49779663191782,250.72075137429655
120,-122.35678723388156,51.04175882552968,-71.31502840835188,250.56756181836664
140,-120.23449951053297,37.56888592472424,-82.66561358580873,184.42828701432035
160,-118.58487136984347,53.63594269866882,-64.94892867117466,263.3025917812425
180,-117.52688141541803,63.878871172080615,-53.64801024333742,313.5858436228503
200,-116.66473702570833,56.08329009600496,-60.581446929703375,275.3167912207477
220,-116.19019063745246,55.06999398468589,-61.12019665276657,270.3424497823752
240,-114.96466933102343,53.07111145565827,-61.89355787536516,260.5297957284308
260,-112.55471022904874,54.261319332103135,-58.2933908969456,266.37260938767804
280,-109.01836271744652,55.37582920808914,-53.642533509357385,271.84381627149384
300,-105.12127266266266,42.08773576112739,-63.03353690153527,206.61163672217816
320,-102.59577074423743,47.088113124317985,-55.50765761991944,231.15883871710113
340,-100.92727711745198,47.5493059268495,-53.37797119060248,233.42286642142668
360,-98.30578368644917,48.20561075470217,-50.100172931747004,236.64471269609723
380,-98.00066953220431,53.75426348654621,-44.246406045658105,263.8834367993815
400,-102.56793023000492,55.91772350208019,-46.650206727924726,274.50401323830977
420,-108.51516577640405,61.629885020932946,-46.8852807554711,302.54541340604345
440,-112.50979918800542,64.23487076543141,-48.27492842257401,315.3334705104571
460,-113.91877408576366,56.540622425525356,-57.3781516602383,277.56186759322026
480,-114.53277896065867,53.97605742764276,-60.55672153301592,264.97223875929467
500,-114.22876811385352,62.8776832875611,-51.35108482629242,308.670942316184
520,-113.07352148290306,58.522748139081976,-54.550773343821085,287.2922612687407
540,-112.1562191900729,46.36530188007533,-65.79091730999758,227.61050779567148
560,-112.84786058197714,52.3850795922047,-60.46278098977245,257.1620173581194
580,-114.18022980363143,50.61702574951373,-63.563204054117705,248.4825174599873
600,-114.36552644009943,63.14252267127693,-51.2230037688225,309.97105736272823
620,-114.22266224422259,63.009034660765614,-51.213627583456976,309.3157553885126
