BB-BB-BB-BB Torsion (Degrees) SC-BB-BB-SC (Degrees) Pitch (Angstroms) Radius (Angstroms) Monomers-per-turn
0.82_-0.35 30.354 8.371 10.664
0.82_-0.26 27.694 7.539 8.836
0.82_-0.17 28.74 7.729 9.138
0.82_-0.09 28.975 7.519 9.093
0.82_0.0 28.604 7.578 9.138
0.82_0.09 28.371 7.417 8.755
0.82_0.17 35.375 8.431 11.575
0.82_0.26 28.665 7.372 8.844
0.82_0.35 27.877 7.403 8.616
0.84_-0.35 29.189 7.337 8.831
0.84_-0.26 27.316 7.465 8.625
0.84_-0.17 27.246 7.302 8.507
0.84_-0.09 27.553 7.367 8.628
0.84_0.0 20.17 8.445 9.923
0.84_0.09 28.837 7.245 8.771
0.84_0.17 27.492 7.405 8.525
0.84_0.26 28.13 7.491 8.946
0.84_0.35 29.722 7.525 9.109
0.86_-0.35 27.901 7.429 8.689
0.86_-0.26 28.886 7.533 8.889
0.86_-0.17 29.143 7.537 9.029
0.86_-0.09 28.8 7.394 8.854
0.86_0.0 28.872 7.447 8.938
0.86_0.09 28.928 7.569 9.14
0.86_0.17 28.426 7.337 8.661
0.86_0.26 27.391 7.414 8.718
0.86_0.35 34.874 8.248 11.16
0.87_-0.35 32.585 8.11 10.472
0.87_-0.26 33.466 8.601 11.262
0.87_-0.17 27.79 7.477 8.689
0.87_-0.09 29.524 7.459 9.089
0.87_0.0 20.255 8.378 9.622
0.87_0.09 24.665 7.893 8.948
0.87_0.17 26.884 7.135 8.299
0.87_0.26 28.493 7.368 8.783
0.87_0.35 27.074 7.396 8.613
