#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
1,1329497212.887223,403116274217.5105,404445771430.3977,2020153591688.3708
2,544925464.2136517,403885520241.8623,404430445706.0759,2024008546743.219
3,376528979.0544395,404064674361.56165,404441203340.6161,2024906349341.4368
4,386524480.7350733,404044317992.25806,404430842472.9931,2024804336609.1497
5,673537362.1094543,403757192741.5401,404430730103.64954,2023365453726.9634
6,960582246.442092,403545023017.3624,404505605263.8045,2022302198637.1582
7,521002447.00170356,403907323562.93164,404428326009.93335,2024117810645.934
8,191269868.00231233,404247847351.1266,404439117219.1289,2025824291871.7605
9,72870943.67170799,404377925219.3605,404450796163.03217,2026476156580.577
10,31231671.034565926,404423239067.3915,404454470738.426,2026703239778.919
11,14776740.459113406,404440757386.82263,404455534127.28174,2026791030072.1484
12,7539527.363032886,404448299869.372,404455839396.73505,2026828828033.1511
13,4107766.640366837,404451794428.86176,404455902195.50214,2026846340466.5508
14,2387771.0519879833,404453485259.98486,404455873031.03687,2026854813799.8909
15,1482425.9867868335,404454323702.45447,404455806128.4413,2026859015522.0112
16,981401.6961062165,404454740455.3369,404455721857.033,2026861104013.313
17,688989.9484046163,404454942835.34247,404455631825.2909,2026862118208.773
18,508813.44346075057,404455027263.33136,404455536076.77484,2026862541306.3154
19,391961.388922183,404455047455.7383,404455439417.1272,2026862642497.3762
20,312775.95113847463,404455028710.43195,404455341486.38306,2026862548558.2317
21,257271.50278745932,404454986192.0098,404455243463.51263,2026862335483.8691
22,217478.22492635658,404454928823.9091,404455146302.13403,2026862047992.6858
23,188624.41706316086,404454858867.77295,404455047492.19,2026861697418.5493
24,167701.10384677319,404454779896.2185,404454947597.3223,2026861301665.067
25,152713.12289849637,404454696409.78076,404454849122.9037,2026860883285.9592
26,142276.41117521003,404454608624.1028,404454750900.514,2026860443361.8877
27,135394.26306733038,404454516425.474,404454651819.73706,2026859981323.0095
28,131327.6047206458,404454422294.2106,404454553621.8153,2026859509599.0378
29,129516.78886033542,404454325519.93134,404454455036.7202,2026859024630.0095
30,129531.12616327182,404454226732.3279,404454356263.45404,2026858529571.525
31,131036.25407774761,404454126349.4875,404454257385.7416,2026858026518.762
32,133770.38767323602,404454024885.6114,404454158655.9991,2026857518048.5588
33,137527.8050843922,404453922240.4868,404454059768.29193,2026857003658.7158
34,142146.29072115736,404453819196.454,404453961342.7447,2026856487269.807
35,147497.64612391734,404453715668.4179,404453863166.064,2026855968455.3918
36,153480.35186095675,404453610911.3051,404453764391.657,2026855443481.653
37,160013.86279292445,404453506101.81445,404453666115.67725,2026854918245.431
38,167034.21122035282,404453400000.53766,404453567034.7489,2026854386535.6262
