#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
1,18806.331576200813,60.13308600981429,18866.464662210627,301.34747082050535
2,18805.566936199386,60.90603462611218,18866.4729708255,305.220980830578
3,18804.62088306552,61.83364849164386,18866.454531557163,309.8695713291661
4,18803.52989274136,62.93535373243715,18866.4652464738,315.39059328118384
5,18802.259874591673,64.18275819664304,18866.442632788316,321.6417638982598
6,18800.84134242851,65.606652977174,18866.447995405684,328.77738788332334
7,18799.20972451887,67.21424267022198,18866.423967189094,336.83356993321945
8,18797.454669936473,69.00183901942638,18866.4565089559,345.79182693324765
9,18795.514681686665,70.9308944743599,18866.445576161026,355.4589839177044
10,18793.411128367377,73.02193487585463,18866.433063243232,365.9379028986974
11,18791.144175811925,75.2910562816282,18866.435232093554,377.30924672932895
12,18788.71372469377,77.71260360210971,18866.426328295882,389.4444489768932
13,18786.10942049991,80.32292696740538,18866.432347467315,402.5256725819338
14,18783.32889265871,83.10694418377139,18866.43583684248,416.4773355106536
15,18780.383830367933,86.04897535381804,18866.43280572175,431.2208604317586
16,18777.278900298068,89.16122799085443,18866.440128288923,446.8174233717064
17,18774.00093626814,92.42831320282667,18866.429249470966,463.1899053265195
18,18770.597341291894,95.86875325261798,18866.46609454451,480.43112769360334
19,18766.980414287675,99.48041434676144,18866.460828634437,498.5303973037364
20,18763.211140188487,103.26363650751443,18866.474776696003,517.4894181248021
21,18759.270496475856,107.19927670946943,18866.469773185327,537.212257905968
22,18755.174747780715,111.30682620483978,18866.481573985555,557.7965939817497
23,18750.920648849013,115.56296737727713,18866.48361622629,579.1255737976148
24,18746.479682918056,119.99588933109337,18866.47557224915,601.3404626012461
25,18741.891824201044,124.59172684501786,18866.48355104606,624.3717770243427
26,18737.150402948755,129.3500363980899,18866.500439346844,648.217294431603
27,18732.224627361426,134.26193761080143,18866.486564972227,672.832512202552
28,18727.147071936273,139.34814889746536,18866.495220833738,698.3212574009065
29,18721.904819819716,144.59072594004152,18866.495545759757,724.593604908635
30,18716.484368038335,150.00048755109714,18866.48485558943,751.7037714975809
31,18710.92722346485,155.56802016842335,18866.49524363327,779.6045825863066
32,18705.204467491218,161.2951844362675,18866.499651927486,808.3053624998258
33,18699.302447737467,167.20645217733232,18866.5088999148,837.9287479156682
34,18693.263653722963,173.23224224469118,18866.495895967655,868.126043896745
35,18687.04416818216,179.45252457904868,18866.49669276121,899.2980071806878
36,18680.68413804935,185.8098927118174,18866.49403076117,931.1569543095956
37,18674.15427855026,192.33072946616122,18866.48500801642,963.83509863823
38,18667.463966929652,199.01073402413277,18866.474700953786,997.3108872961684
39,18660.619801917215,205.85588885270295,18866.47569076992,1031.6143004725307
40,18653.60875194759,212.86575551921743,18866.47450746681,1066.7431410312597
41,18646.437517318926,220.03761737680094,18866.475134695727,1102.6837949252592
42,18639.134706085857,227.37277561923105,18866.507481705088,1139.4427828818018
43,18631.646317969782,234.82807922834394,18866.474397198126,1176.8038603831042
44,18624.012893207895,242.44794880459017,18866.460842012486,1214.9896342582242
45,18616.22776508935,250.2530778043264,18866.480842893674,1254.1038064980196
46,18608.277050293716,258.19224366299414,18866.46929395671,1293.8896833037359
47,18600.195865467183,266.27963558472965,18866.475501051915,1334.4183716326772
48,18591.9489130914,274.5312996826427,18866.480212774044,1375.770284048425
49,18583.524101730793,282.9529128883324,18866.477014619126,1417.9738695978006
50,18574.985498934348,291.5487982683619,18866.53429720271,1461.050792646654
51,18566.252946658376,300.25318238593604,18866.506129044312,1504.6714399963182
52,18557.39931249005,309.1413239819538,18866.540636472004,1549.2129589500826
53,18548.38120692117,318.15496121315533,18866.536168134327,1594.3833794748634
54,18539.209225865452,327.3018690770944,18866.511094942547,1640.221664743914
55,18529.901179712462,336.63657793287905,18866.537757645343,1687.001085046364
56,18520.442033229116,346.1210424585531,18866.563075687667,1734.5309822552351
57,18510.840137403746,355.7234740162998,18866.563611420046,1782.6520526287345
58,18501.082217017647,365.50880837558714,18866.591025393234,1831.689711527913
