#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
1,-32.16765691234567,0.41754365423670714,-31.750113258108964,3.0435696434066224
2,-32.17337827417545,0.9006169650189719,-31.272761309156476,6.564799697601947
3,-32.17662189838885,1.6884231677520605,-30.488198730636793,12.307296366385188
4,-32.18036481955821,2.4811571649648063,-29.6992076545934,18.085712837888572
5,-32.18329171714017,3.1199853572687877,-29.063306359871383,22.742275268475733
6,-32.18655564325336,3.533549746416762,-28.653005896836596,25.756839153312573
7,-32.18807757395816,3.6158640951177254,-28.572213478840435,26.35684696179196
8,-32.192663140848936,4.936431189044439,-27.256231951804498,35.982757638136526
9,-32.198940037745714,5.172626436329734,-27.02631360141598,37.70443793972941
10,-32.20228990935282,4.40159992578035,-27.80068998357247,32.08425222271811
11,-32.20797890024808,4.119177139613348,-28.08880176063473,30.025608988981144
12,-32.2166475933719,4.6835078259061484,-27.533139767465755,34.13914233625096
13,-32.22781656020873,5.527824664969456,-26.699991895239272,40.293557748186124
14,-32.239985416626325,6.109366284949187,-26.130619131677136,44.53254546357462
15,-32.250780676097946,6.221857588597993,-26.028923087499955,45.35251988650921
16,-32.25816388674284,6.6874337491831115,-25.570730137559732,48.746209276043935
17,-32.26567188110257,7.30467015694894,-24.96100172415363,53.24538433096272
18,-32.272640324898724,7.2491647466026645,-25.023475578296058,52.840792906184454
19,-32.28263569503136,7.125218542603173,-25.157417152428188,51.937321137231464
20,-32.29347352417757,7.655419178487514,-24.63805434569006,55.802072867783814
21,-32.305209102037225,8.014730955963257,-24.290478146073966,58.42117725925826
22,-32.31815329124242,7.959181787203016,-24.358971504039403,58.01626686955492
23,-32.331360817664915,8.74748614123559,-23.583874676429325,63.762394675244586
24,-32.34348067682703,7.690952470204487,-24.65252820662254,56.06108302612951
25,-32.358475911462506,7.547393949571062,-24.811081961891443,55.01465266844395
26,-32.37610598819514,6.987192993222015,-25.388912994973126,50.93122185192688
27,-32.39585257032922,6.744834966154052,-25.651017604175166,49.16461966186748
28,-32.4164788274313,6.92902853951281,-25.487450287918488,50.50724806178921
29,-32.43372324664659,7.391956287264152,-25.041766959382443,53.88163257428343
30,-32.453004376518365,8.445869862253268,-24.007134514265097,61.56384575382462
31,-32.47214406947854,8.764232346564441,-23.707911722914098,63.88446153379693
32,-32.49299299273321,8.382823169196257,-24.11016982353695,61.10428422257282
33,-32.5100672059761,9.022971100954567,-23.487096105021532,65.77046653098508
34,-32.52546248585141,9.602735480643567,-22.922727005207847,69.99649954201385
35,-32.537473471774476,9.980283973069485,-22.557189498704993,72.7485354520364
36,-32.55529141660692,11.085821578224602,-21.469469838382317,80.80704780290802
37,-32.57427337800635,11.906845235206406,-20.66742814279995,86.79167396966545
38,-32.594043502685835,12.46280987269768,-20.131233629988156,90.84422530485287
39,-32.61433820288798,14.574173338887444,-18.040164864000534,106.23442866847526
