#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
20,-73.70233218452995,0.03182153675399717,-73.67051064777596,0.08504992513327282
40,-73.74053109973102,0.08169186648066147,-73.65883923325035,0.21833914502274435
60,-73.79524444151684,0.15654842658749737,-73.63869601492935,0.4184094584723616
80,-73.86557991927839,0.25087479384290273,-73.61470512543549,0.6705170337659434
100,-73.94420268397153,0.34549089356294177,-73.59871179040859,0.9233989816052722
120,-74.02460228129712,0.41419841954862613,-73.6104038617485,1.1070346741976742
140,-74.1058751915516,0.5051278538617584,-73.60074733768984,1.350063213030618
160,-74.1823227225068,0.5810438168994222,-73.60127890560737,1.5529650094676672
180,-74.25116233450535,0.6342180412397431,-73.6169442932656,1.6950846008037477
200,-74.30493349185781,0.7084221928142503,-73.59651129904356,1.8934112116390063
220,-74.34760814853507,0.7377609075454662,-73.60984724098961,1.9718252590398728
240,-74.38141293824447,0.7891586481570595,-73.59225429008741,2.109196814185973
260,-74.41104610489856,0.8018096498738764,-73.60923645502469,2.1430093467859592
280,-74.4443766025579,0.8602348237602319,-73.58414177879766,2.299163234115389
300,-74.49222814977111,0.9123826869465679,-73.57984546282454,2.438539653744178
320,-74.56176932216476,0.948645964569595,-73.61312335759517,2.5354610900270482
340,-74.65797193824983,0.9966331339482785,-73.66133880430155,2.6637171574371816
360,-74.78757535051409,1.1060368571387134,-73.68153849337537,2.9561222206677935
380,-74.95230113240541,1.2168735988630979,-73.7354275335423,3.2523573352239974
400,-75.15369621011632,1.4479200645123276,-73.70577614560399,3.8698788822720336
420,-75.38879569448909,1.6254312521266492,-73.76336444236244,4.344315844057671
440,-75.64521053843782,1.8400169391226702,-73.80519359931515,4.9178424073651765
460,-75.91781419149629,2.0321666607152467,-73.88564753078104,5.431404010695822
480,-76.20279490930261,2.268371665450681,-73.93442324385192,6.062712866838026
500,-76.49260910618614,2.4941944960672537,-73.99841461011889,6.666273121825106
520,-76.78425376254745,2.689736778052939,-74.09451698449452,7.188902075035004
540,-77.08870318848494,2.93905721224021,-74.14964597624473,7.855264747138163
560,-77.41568768958678,3.1138001185053508,-74.30188757108142,8.322302879529866
580,-77.77696041810123,3.4444768161907864,-74.33248360191044,9.206107725250632
600,-78.17989453866903,3.705351481815067,-74.47454305685396,9.903351574661068
620,-78.63037568608706,3.9963112668782332,-74.63406441920883,10.681004399152865
640,-79.14873451910535,4.359759307367574,-74.78897521173778,11.652397731675386
660,-79.76426427722618,4.808707944418964,-74.9555563328072,12.852309862415249
680,-80.50382664304198,5.369841820375701,-75.13398482266628,14.352061257478494
700,-81.40220925364702,6.133160488213877,-75.26904876543314,16.392195147125154
720,-82.48261927045678,6.94301647466917,-75.53960279578762,18.55671006509509
740,-83.77864002250863,7.9903212741182665,-75.78831874839035,21.35585818523339
760,-85.30549090175191,9.234120369025247,-76.07137053272666,24.680179720062576
780,-86.99746764411975,10.510580996884377,-76.48688664723538,28.09179625116403
800,-88.63343472512497,11.65342698927519,-76.98000773584978,31.14629883044283
820,-90.15300653853046,12.687451453582977,-77.46555508494748,33.90995238857286
840,-92.3682460905984,14.48992259933331,-77.87832349126509,38.7274455595051
860,-95.29377712304995,16.763622736168468,-78.53015438688148,44.804399916181524
880,-97.32900407629495,18.111928334150385,-79.21707574214457,48.40803763649779
900,-99.80945200823044,19.779351960600714,-80.03010004762973,52.86458716430264
920,-103.9025324105678,23.09605262938882,-80.80647978117898,61.72918555722818
940,-107.59316875925288,25.92935990016986,-81.66380885908302,69.30181076142156
960,-110.49691185981646,27.83728724150444,-82.65962461831202,74.4011583760476
980,-113.58487806241465,29.80374707014228,-83.78113099227237,79.65694669627159
1000,-114.65580048527045,29.620510994106017,-85.03528949116443,79.16720873455479
1020,-113.73095035289589,27.4744723794057,-86.25647797349019,73.43145734943515
1040,-114.30017848212447,26.845664888958073,-87.4545135931664,71.75083361340224
1060,-115.96545866705128,27.45862147971259,-88.50683718733869,73.3890923988479
1080,-119.68915567701333,30.00044611734739,-89.68870955966594,80.18266735419925
1100,-123.19070750684477,32.393905683012214,-90.79680182383257,86.57970463253683
1120,-125.07466751645552,33.197286608304324,-91.8773809081512,88.7269135520121
1140,-130.25579212189768,36.906614162954114,-93.34917795894357,98.64089203949426
1160,-132.74564550565265,38.01372014903555,-94.7319253566171,101.59987173801547
1180,-131.27027698080929,35.12693146306518,-96.14334551774411,93.88430590863992
1200,-127.79443263237772,30.29928856851142,-97.49514406386629,80.98138830519015
1220,-126.34903574256168,27.63532792668083,-98.71370781588085,73.86137851756678
1240,-126.58729602086532,27.008342050121016,-99.57895397074431,72.18562343781458
1260,-128.79680656539858,28.073345780542727,-100.72346078485586,75.03207577100196
1280,-130.28793189230782,28.504050677925775,-101.78388121438205,76.18322756986537
1300,-131.4530683549674,28.47584754218598,-102.97722081278141,76.10784860241522
1320,-133.00464561190165,28.99631297805935,-104.0083326338423,77.4989048137381
1340,-133.3626386335818,28.287194757102192,-105.07544387647962,75.60363331666088
1360,-132.91910893763998,26.69415070148894,-106.22495823615104,71.34587924553188
1380,-132.20776754480903,25.04040568195412,-107.1673618628549,66.9258887470123
1400,-131.11545828852104,23.07006683057567,-108.04539145794537,61.659732901290404
1420,-133.43664852611255,24.39584300970228,-109.04080551641027,65.2031558871093
1440,-138.8073928579106,28.877717532775318,-109.92967532513528,77.18193288932947
1460,-142.27298369456548,31.25380416462055,-111.01917952994494,83.53253725237057
1480,-142.71600564484834,30.6297052171674,-112.08630042768094,81.86449811375236
1500,-144.7656426288886,31.21829950354396,-113.54734312534464,83.43764338254302
1520,-149.12507745317998,34.0265359282332,-115.09854152494678,90.94326133942403
1540,-150.73043455195148,34.19954366250035,-116.53089088945111,91.40566185014261
