#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
20,1373610.6238326123,236.03826090590806,1373846.6620935183,1720.5359925514538
40,1373631.1794381288,215.76967829267022,1373846.9491164214,1572.7937334353367
60,1373687.2923849558,159.7074744411713,1373846.999859397,1164.1437155184901
80,1373728.215654473,118.76863577453335,1373846.9842902476,865.7313092040496
100,1373746.518116133,100.48193993781003,1373847.000056071,732.4354687281474
120,1373739.8902386131,107.08732401531272,1373846.9775626285,780.5835994860673
140,1373707.6115332744,139.366724207943,1373846.9782574824,1015.8754103824872
160,1373649.5107626105,197.4655890514264,1373846.9763516618,1439.3711085203538
180,1373565.8390867996,281.1741048114555,1373847.013191611,2049.541314382033
200,1373456.8805800641,390.1258557511131,1373847.0064358152,2843.715141217285
220,1373322.3820542481,524.6100794190195,1373846.9921336672,3824.0009065966947
240,1373235.492707899,596.8296709978605,1373832.3223788969,4350.425759084039
260,1373263.2709100351,578.9945442951137,1373842.2654543302,4220.421507629128
280,1373293.4581234185,548.8211629972383,1373842.2792864158,4000.480942312609
300,1373300.2053341726,542.0781531027585,1373842.2834872752,3951.329626008818
320,1373284.1224612116,558.1625373839363,1373842.2849985955,4068.572322034386
340,1373245.783010692,596.4650961215365,1373842.2481068135,4347.768290780858
360,1373186.0441062965,656.2060968480941,1373842.2502031445,4783.233886852415
380,1373105.8517512884,736.4005775360679,1373842.2523288245,5367.78950041302
400,1373006.4980998707,835.7657114533416,1373842.263811324,6092.08431877518
420,1372889.9179677079,952.3410112513498,1373842.2589789592,6941.827908543888
440,1372760.7930614918,1081.4965969258562,1373842.2896584177,7883.272032641352
460,1372668.4461850324,1172.6731472461481,1373841.1193322786,8547.878422726877
480,1372588.0167046434,1247.7376771532329,1373835.7543817966,9095.04067080232
500,1372614.9370822855,1220.6371796131373,1373835.5742618986,8897.4990465977
520,1372621.443531181,1214.269131933848,1373835.7126631148,8851.080914247248
540,1372608.509815844,1227.296066025954,1373835.80588187,8946.037167915794
560,1372576.841471364,1258.9505043876907,1373835.7919757518,9176.773491409891
580,1372527.2079570445,1308.5025850067,1373835.7105420511,9537.969756301887
600,1372460.5074885774,1375.203536385723,1373835.711024963,10024.167998674047
620,1372377.4637528765,1458.2452906928897,1373835.7090435694,10629.478030283923
640,1372279.0427062686,1556.668153012842,1373835.7108592815,11346.9044189613
660,1372166.946634055,1668.7750536464312,1373835.7216877015,12164.076841826967
680,1372051.3598040405,1784.415348190331,1373835.7751522309,13007.004967921508
700,1372139.4416630846,1696.2785711776364,1373835.7202342623,12364.556169426623
720,1372002.1406635677,1833.569724173275,1373835.710387741,13365.302274237347
740,1372024.947122469,1810.7346773191389,1373835.6817997883,13198.852479812696
760,1372041.5099306076,1794.2008840852418,1373835.7108146928,13078.333940813363
780,1372045.6200351445,1790.0342012667033,1373835.6542364112,13047.962052241877
800,1372036.3731993015,1799.2749130912719,1373835.6481123928,13115.319679899134
820,1372013.7257153913,1822.0023931352036,1373835.7281085264,13280.985395641579
840,1371977.796148562,1857.921562984692,1373835.7177115467,13542.808306518087
860,1371929.1602157939,1906.46396931465,1373835.6241851086,13896.644828339622
880,1371869.0603211902,1966.5522338912526,1373835.6125550815,14334.641708748817
900,1371800.1865138672,2035.5483912665472,1373835.7349051337,14837.57022405109
920,1371732.0656206403,2103.692886801486,1373835.7585074417,15334.290784574374
940,1371629.5793997997,2199.1078687143777,1373828.6872685142,16029.792056189051
960,1371740.5549082651,2092.8392932414927,1373833.3942015066,15255.176499047855
980,1371758.6492911775,2074.4979221969347,1373833.1472133745,15121.482118680078
1000,1371790.7263272693,2042.4738791911348,1373833.2002064604,14888.051663774046
