#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
20,1365749.657962086,105.31682818961491,1365854.9747902756,767.6780570494982
40,1365773.4902387382,81.38841499968211,1365854.878653738,593.2584693948771
60,1365785.872840053,68.99707768197226,1365854.869917735,502.9352236247159
80,1365790.9995697096,63.898237970006846,1365854.8978076796,465.76863372095335
100,1365792.3870802305,62.509071525884835,1365854.8961517564,455.6426869461235
120,1365794.4033582485,60.4487189049672,1365854.8520771535,440.62431311117297
140,1365799.1152645436,55.52565928584699,1365854.6409238295,404.73902385482864
160,1365801.2316158751,53.483390631445545,1365854.7150065065,389.8524681207224
180,1365784.8520297455,69.73056781407544,1365854.5825975596,508.28179823351593
200,1365741.7369108573,113.01114182098326,1365854.7480526783,823.763640335615
220,1365744.0730626844,110.3472021046561,1365854.4202647891,804.3455843546177
240,1365807.3980644657,47.173199606907204,1365854.5712640726,343.85606594454623
260,1365781.656075765,72.4995366083854,1365854.1556123733,528.4654347955612
280,1365721.0282876394,132.96949264075374,1365853.9977802802,969.2445501067327
300,1365775.084609436,79.20357931201943,1365854.288188748,577.3327104776267
320,1365791.5644244803,62.662689693792,1365854.227114174,456.76244433621645
340,1365790.222480855,63.906850600916854,1365854.1293314558,465.8314131255056
360,1365792.6062525967,61.670676873235124,1365854.27692947,449.5314396834539
380,1365798.2340381572,55.93789258649988,1365854.1719307436,407.74388513612877
400,1365801.4631482332,52.74934929581125,1365854.212497529,384.50187566536283
420,1365797.3193890864,56.910096006931276,1365854.2294850934,414.8304946142449
440,1365782.6534020293,71.62522603434465,1365854.2786280636,522.0923883007598
460,1365753.6495871886,100.51712077169893,1365854.1667079604,732.6919097420811
480,1365702.3299989444,151.72972644119716,1365854.0597253856,1105.992115346633
500,1365745.036917765,107.66167572044299,1365852.6985934854,784.770178294381
