#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
20,1516.0666982411003,59.9106171843849,1575.9773154254851,300.23260341009814
40,1522.5563507578222,53.24372525517762,1575.8000760129999,266.8225266218828
60,1531.1830853401475,44.52268068736473,1575.7057660275123,223.1183880550646
80,1539.4539207816676,36.31488837497331,1575.768809156641,181.98633216896786
100,1545.2106704908167,30.338786025219772,1575.5494565160366,152.038038343356
120,1547.240981285695,28.251354868978538,1575.4923361546735,141.57720652536892
140,1545.7486564517649,29.829196543074715,1575.5778529948395,149.48431107287996
160,1542.049403178196,33.62762997252634,1575.6770331507223,168.51956076650936
180,1537.9825440817287,38.013495249792854,1575.9960393315216,190.49863246171603
200,1535.2883519744037,40.56455695634709,1575.8529089307508,203.28287561617
220,1535.0222149539738,40.9155135023579,1575.9377284563318,205.0416389613773
240,1537.245443115568,38.73392677216934,1575.9793698877372,194.10896134342497
260,1541.1567471185028,35.06952914419955,1576.2262762627024,175.7454109164748
280,1545.4888704925822,30.702555416106954,1576.191425908689,153.8610112386416
300,1549.041021255058,27.174954899414427,1576.2159761544724,136.18299794664284
320,1550.977474825468,25.035018310432704,1576.0124931359007,125.4590434384599
340,1551.0106498711652,25.00265312159216,1576.0133029927574,125.29685040219807
360,1549.424554261019,26.444075618399346,1575.8686298794184,132.52031177129743
380,1546.8550328549723,29.169698211786287,1576.0247310667585,146.17933926232504
400,1543.9597118765337,32.17339230843311,1576.1331041849667,161.23187820894208
420,1541.2487306063601,34.92356037766836,1576.1722909840285,175.01391147861486
440,1539.040684544873,36.90113131502498,1575.941815859898,184.92419614691366
460,1537.3299065871868,38.771002941364586,1576.1009095285513,194.29476271428555
480,1536.138835521144,40.03903162673538,1576.1778671478794,200.6492883609815
500,1535.4924910853815,40.595119264344184,1576.0876103497258,203.43603379960098
