#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
100,483573.67153105634,68.5330729860128,483642.20460404234,228.96178662244176
200,483616.58192857495,58.7202541026489,483675.3021826776,196.17819111964005
300,483591.4943943141,85.66271783583456,483677.15711215,286.1901278909496
400,483614.78478661034,96.25937114272206,483711.04415775306,321.5924317371342
500,483615.94498496706,85.24403305883472,483701.1890180259,284.7913460999585
600,483573.52361347707,94.44819187434504,483667.97180535144,315.5414723519368
700,483607.2423604879,82.94464180974782,483690.1870022976,277.10932185098903
800,483612.1044666639,69.68197545270951,483681.7864421166,232.80014889000705
900,483611.3364418615,70.90441698006104,483682.2408588416,236.8841974223266
1000,483579.5872633598,87.92195081080537,483667.5092141706,293.7379875710668
1100,483588.0070121798,90.36619736759255,483678.3732095474,301.9039581631335
1200,483636.21115278656,75.23203569712129,483711.4431884837,251.3423162561495
1300,483628.6524743217,81.30316023623928,483709.95563455793,271.6253046108014
1400,483613.2706565779,78.26398820472758,483691.5346447826,261.4717505985671
1500,483598.1938810827,89.78701422265928,483687.98089530534,299.96896821058033
1600,483621.93699665036,63.18859125826094,483685.1255879086,211.10643545196666
1700,483600.0280389541,74.22655781906387,483674.2545967731,247.98312044982177
1800,483586.6406032159,89.72443350160778,483676.3650367175,299.7598926055364
1900,483626.2930077318,82.92088827453193,483709.21389600635,277.0299637888934
2000,483643.466002564,84.08915074168874,483727.5551533057,280.93300578117
2100,483656.9630235049,97.6564767744756,483754.61950027937,326.2600146662092
2200,483647.2151448763,101.13917648195186,483748.3543213582,337.8953479812054
2300,483642.5440470362,92.1558392890758,483734.6998863253,307.8829635382588
2400,483619.85624310025,111.44561860014203,483731.30186170037,372.32808677847515
2500,483611.62370583793,94.8476209929455,483706.47132683086,316.87592301406386
2600,483620.7673760734,93.60064826655751,483714.36802433996,312.70991832664066
2700,483652.7338463473,65.93589395566676,483718.66974030295,220.28488472592625
2800,483620.2857401991,81.21248874390598,483701.498228943,271.3223806942773
2900,483606.39812129526,102.11784031798456,483708.5159616133,341.1649608941788
3000,483632.9134266886,66.7496104167261,483699.6630371053,223.0034258128882
3100,483622.21260338044,72.88700073428303,483695.0996041147,243.50780116161812
3200,483601.4816922724,88.26750142110754,483689.7491936935,294.8924358054164
3300,483604.7639148887,85.36724969964459,483690.1311645884,285.2029999335346
3400,483642.6975405631,68.54613759893806,483711.24367816205,229.00543411972396
3500,483649.7152622601,60.40109062330471,483710.1163528834,201.79368909779353
3600,483599.46340890264,83.32931989235193,483682.792728795,278.3944908537785
3700,483575.4440465131,90.68892432662278,483666.13297083974,302.9821549798131
3800,483603.6856171917,80.66946244806759,483684.35507963976,269.5081869705623
3900,483611.1998363733,70.92289237371314,483682.12272874697,236.94592176876003
4000,483610.0560018231,80.45686303074588,483690.51286485384,268.7979146844384
4100,483627.50715948385,64.00308742617969,483691.51024691004,213.8275814575145
4200,483585.26325248205,82.79803814349232,483668.06129062554,276.6195344259
4300,483632.87661230913,62.50220228330369,483695.37881459243,208.8132821002085
4400,483621.57909041,91.92065255408924,483713.4997429641,307.09722940018196
4500,483608.46738282626,87.80360450906973,483696.2709873353,293.3426050279393
4600,483628.0027739648,83.65974469976761,483711.66251866455,279.4984053720391
4700,483629.84736648324,83.57014745388142,483713.4175139371,279.1990703998755
4800,483598.9028443963,111.29222172716997,483710.1950661235,371.8156039644454
4900,483598.4772621277,109.30924681256685,483707.7865089402,365.19069339947373
5000,483660.4438901793,79.86171835959131,483740.30560853885,266.80959895205933
5100,483637.44946850924,90.32512533669646,483727.77459384594,301.76674082901366
5200,483627.086044246,99.88011221190226,483726.9661564579,333.68894671853514
5300,483651.1966482206,115.27485669612228,483766.4715049167,385.1211683908712
5400,483621.20255935274,124.13102530582745,483745.33358465857,414.70869597658924
5500,483657.4258304738,116.17709504616448,483773.6029255199,388.1354517957188
5600,483655.72002762085,113.22287475018652,483768.94290237105,378.2657125943051
5700,483640.6728019499,101.36670423235523,483742.03950618225,338.6554942575758
5800,483617.86393716634,100.53298068719405,483718.39691785356,335.87011160753383
5900,483618.82604246825,109.65022168897235,483728.4762641572,366.3298545882782
6000,483638.60221484496,96.49476919845048,483735.0969840434,322.378871875577
6100,483629.7524950901,99.78958427935439,483729.5420793695,333.3865024201505
6200,483598.4034811897,102.65574889853549,483701.0592300882,342.9620568695428
6300,483619.05397877283,77.7653330595156,483696.81931183237,259.8057962208973
6400,483637.75209111447,74.55701458985601,483712.3091057043,249.0871417543603
6500,483609.17745491886,106.49333555198136,483715.67079047085,355.7830301340968
6600,483618.2273517966,95.11789191621162,483713.34524371277,317.77886973404736
6700,483611.8375953377,80.32992336448393,483692.1675187022,268.3738226145188
6800,483596.675618534,72.9032919461092,483669.5789104801,243.56222838636444
6900,483570.37095786486,110.09951113783609,483680.47046900267,367.830883368112
7000,483598.76354737615,89.04451355396384,483687.8080609301,297.488351593439
7100,483565.94676832744,99.92901701659501,483665.87578534405,333.8523325258396
7200,483590.2293861029,81.0315695779837,483671.26095568086,270.71794879506473
7300,483616.97467102867,75.14456587819119,483692.1192369069,251.050088793624
7400,483628.4607669078,87.24783732162821,483715.7086042294,291.4858453258213
7500,483644.5903601874,67.27760246421225,483711.8679626516,224.7673916945807
7600,483626.81547845335,74.5898897508273,483701.40536820417,249.1969742084372
7700,483622.0587290299,75.83542490191765,483697.8941539318,253.3581761080354
7800,483625.72312551015,98.98438728441063,483724.7075127946,330.6964239731652
7900,483634.70604468166,89.94820968896587,483724.6542543706,300.5075053044668
8000,483601.1859634643,106.34674817312754,483707.53271163744,355.2932971235032
8100,483586.7721704276,96.4632611872904,483683.2354316149,322.27360692518425
8200,483600.02617760096,62.79490387355709,483662.82108147454,209.7911673187121
8300,483584.89743380825,79.8864465665933,483664.78388037486,266.89221329004914
8400,483595.8175136829,79.35611547135188,483675.1736291542,265.12043289589263
8500,483597.44520347525,82.97967143309401,483680.42487490835,277.22635213719394
8600,483623.01928642107,66.35973024458472,483689.3790166656,221.70087717625586
8700,483597.103875622,86.75381138080186,483683.8576870028,289.8353566329749
8800,483582.8321848011,84.52490373062179,483667.3570885317,282.38881067251845
8900,483593.94793695863,74.03578524573855,483667.9837222044,247.34576935313243
9000,483597.662549923,68.48758276312158,483666.15013268613,228.80980857369508
9100,483584.10170622694,87.77065109130214,483671.87235731824,293.2325111261392
9200,483607.04832986154,80.92369239871608,483687.97202226025,270.35754248866806
9300,483589.78717648215,80.25274102531353,483670.03991750744,268.1159645395458
9400,483598.9960798381,84.09051230594078,483683.08659214404,280.93755462408865
9500,483602.694084761,84.40189058168006,483687.09597534273,281.97783668386484
9600,483593.4413822977,103.8204232714671,483697.2618055692,346.85311141650897
9700,483584.66469866014,104.90161180172707,483689.56631046184,350.4652485464832
9800,483602.5134906979,85.64751183451943,483688.1610025324,286.13932624034794
9900,483596.48820627475,81.90505872931517,483678.39326500404,273.63618415166394
10000,483585.5717930718,74.06610631374338,483659.63789938553,247.44706885131924
